# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual prec
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:54:13 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0327 001 1263.34
0328 001 830.82
0329 001 1239.17
0330 001 122.49
0331 001 1112.40
0332 001 772.51
0333 001 647.89
0334 001 1303.63
0335 001 1149.07
0336 001 868.82
0337 001 1174.57
0338 001 947.70
0339 001 578.92
0340 001 750.27
0341 001 136.33
0342 001 579.34
0343 001 882.78
0344 001 1171.82
0345 001 1008.03
0346 001 1093.76
0347 001 1056.16
0348 001 596.20
0349 001 194.19
0350 001 772.51
0351 001 613.44
0352 001 724.36
0353 001 971.66
0354 001 126.72
0355 001 929.62
0356 001 633.20
0357 001 808.81
0358 001 2062.30
0359 001 126.34
0360 001 1334.61
0361 001 1062.59
0362 001 723.20
0363 001 186.93
0364 001 768.18
0365 001 710.67
0366 001 585.88
0367 001 621.44
0368 001 1074.08
0369 001 1092.39
0370 001 896.53
0371 001 1114.62
0372 001 686.64
0373 001 175.42
0374 001 1683.79
0375 001 1572.62
0376 001 937.15
0377 001 845.13
0378 001 781.04
0379 001 248.91
0380 001 707.67
0381 001 433.52
0382 001 936.37
0383 001 1014.25
0384 001 716.23
0385 001 241.52
0386 001 921.94
0387 001 999.36
0388 001 677.00
0389 001 935.43
0390 001 786.03
0391 001 611.99
0392 001 145.74
0393 001 694.95
0394 001 627.16
0395 001 948.88
0396 001 235.03
0397 001 938.47
0398 001 690.98
0399 001 802.64
0400 001 1522.78
0401 001 293.83
0402 001 1768.27
0403 001 1362.61
0404 001 1189.80
0405 001 815.47
0406 001 1689.11
0407 001 547.52
0408 001 283.98
0409 001 690.31
0410 001 1300.12
0411 001 698.25
0412 001 388.22
0413 001 547.93
0414 001 744.28
0415 001 1282.08
0416 001 521.66
0417 001 1483.34
0418 001 606.15
0419 001 392.46
0420 001 1079.04
0421 001 2028.88
0422 001 1275.45
0423 001 1345.53
0424 001 350.46
0425 001 1700.47
0426 001 466.85
0427 001 550.37
0428 001 579.59
0429 001 1794.74
0430 001 1797.88
0431 001 1281.64
0432 001 567.93
0433 001 2071.72
0434 001 399.52
0435 001 582.26
0436 001 2266.83
0437 001 1395.59
0438 001 1287.26
0439 001 367.70
0440 001 263.20
0441 001 567.93
0442 001 552.04
0443 001 537.02
0444 001 979.91
0445 001 2274.10
0446 001 2132.86
0447 001 1520.98
0448 001 1639.11
0449 001 1969.10
0450 001 406.05
0451 001 936.15
0452 001 1673.62
0453 001 337.56
0454 001 1969.10
0455 001 1395.59
0456 001 2256.89
0457 001 2193.00
0458 001 573.77
0459 001 346.04
0460 001 255.58
0461 001 975.02
0462 001 480.21
0463 001 555.94
0464 001 1889.21
0465 001 1524.38
0466 001 933.62
0467 001 1561.86
0468 001 2085.81
0469 001 1567.00
0470 001 368.28
0471 001 1310.32
0472 001 1714.58
0473 001 206.24
0474 001 1896.79
0475 001 2095.24
0476 001 2371.61
0477 001 1786.93
0478 001 365.48
0479 001 1565.02
0480 001 739.05
0481 001 2575.08
0482 001 1613.55
0483 001 1648.49
0484 001 1993.87
0485 001 429.71
0486 001 1329.29
0487 001 2394.54
0488 001 1557.65
0489 001 788.41
0490 001 1584.05
0491 001 1797.49
0492 001 2143.34
0493 001 2471.59
0494 001 2371.61
0495 001 1563.17
0496 001 1996.16
0497 001 784.15
0498 001 1512.67
0499 001 1576.92
0500 001 1787.10
0501 001 2283.09
0502 001 1526.86
0503 001 2377.94
0504 001 1646.79
0505 001 2488.35
0506 001 972.58
0507 001 1146.68
0508 001 2764.02
0509 001 2429.57
0510 001 2544.46
0511 001 2963.62
0512 001 2083.86
0513 001 1744.84
0514 001 2449.51
0515 001 1645.15
0516 001 2730.78
0517 001 2875.46
0518 001 2927.01
0519 001 2456.45
0520 001 2709.09
0521 001 1908.41
0522 001 1768.20
0523 001 1452.89
0524 001 2705.37
0525 001 2413.69
0526 001 2401.87
0527 001 1737.63
0528 001 2160.76
0529 001 1885.97
0530 001 1798.74
0531 001 1992.11
0532 001 2705.46
0533 001 2372.59
0534 001 2893.94
0535 001 2155.21
0536 001 2228.88
0537 001 2863.35
0538 001 1975.70
0539 001 2393.63
0540 001 2348.22
0541 001 2163.26
0542 001 2127.30
0543 001 2552.23
0544 001 2067.55
0545 001 1993.93
0546 001 1952.86
0547 001 2685.25
0548 001 2892.66
0549 001 1882.13
0550 001 2469.51
0551 001 1752.26
0552 001 2252.70
0553 001 2287.72
0554 001 2694.20
0555 001 1544.26
0556 001 1456.40
0557 001 2109.65
0558 001 2213.41
0559 001 1192.32
0560 001 2113.99
0561 001 2273.74
0562 001 1500.47
0563 001 2290.62
0564 001 2481.29
0565 001 1037.65
0566 001 2285.06
0567 001 1848.87
0568 001 1096.91
0569 001 570.89
0570 001 1355.00
0571 001 2662.33
0572 001 585.63
0573 001 2083.82
0574 001 1427.07
0575 001 1295.27
0576 001 2484.07
0577 001 2051.72
0578 001 1275.31
0579 001 725.05
0580 001 2032.11
0581 001 577.53
0582 001 856.60
0583 001 1361.00
0584 001 761.63
0585 001 1832.20
0586 001 1973.60
0587 001 2073.26
0588 001 1575.94
0589 001 2057.53
0590 001 357.68
0591 001 1911.97
0592 001 360.04
0593 001 307.34
0594 001 415.12
0595 001 410.18
0596 001 349.28
0597 001 1814.43
0598 001 1262.18
0599 001 1523.14
0600 001 2096.63
0601 001 328.42
0602 001 357.68
0603 001 1914.75
0604 001 2053.03
0605 001 357.68
0606 001 2012.60
0607 001 1212.18
0608 001 1827.00
0609 001 1908.76
0610 001 1829.79
0611 001 2046.84
0612 001 1839.13
0613 001 1397.00
0614 001 1400.19
0615 001 366.88
0616 001 378.89
0617 001 1699.12
0618 001 316.44
0619 001 328.88
0620 001 1296.25
0621 001 419.46
