# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual temp
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  07-Dec-2010 09:14:42 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 07-Dez-2010 09:14:26 (c)2010 lemmen
0001 001 17.44
0002 001 12.41
0003 001 21.51
0004 001 -33.43
0005 001 24.07
0006 001 7.84
0007 001 7.53
0008 001 17.26
0009 001 21.36
0010 001 23.61
0011 001 12.88
0012 001 19.85
0013 001 25.69
0014 001 22.29
0015 001 14.27
0016 001 18.25
0017 001 24.97
0018 001 25.11
0019 001 17.12
0020 001 7.83
0021 001 4.21
0022 001 23.71
0023 001 24.11
0024 001 7.52
0025 001 21.62
0026 001 2.00
0027 001 -6.44
0028 001 10.75
0029 001 6.22
0030 001 14.61
0031 001 -19.59
0032 001 25.99
0033 001 24.03
0034 001 8.15
0035 001 -0.43
0036 001 25.63
0037 001 22.62
0038 001 22.38
0039 001 8.91
0040 001 23.69
0041 001 12.65
0042 001 11.58
0043 001 22.94
0044 001 10.19
0045 001 26.05
0046 001 20.29
0047 001 23.12
0048 001 25.49
0049 001 17.56
0050 001 23.90
0051 001 26.12
0052 001 22.87
0053 001 5.31
0054 001 22.60
0055 001 23.15
0056 001 25.00
0057 001 22.10
0058 001 9.10
0059 001 5.79
0060 001 12.73
0061 001 25.37
0062 001 -8.26
0063 001 24.80
0064 001 20.90
0065 001 22.40
0066 001 20.77
0067 001 26.23
0068 001 5.41
0069 001 15.07
0070 001 23.92
0071 001 10.12
0072 001 11.31
0073 001 25.91
0074 001 23.06
0075 001 26.72
0076 001 6.83
0077 001 25.51
0078 001 1.61
0079 001 24.70
0080 001 19.07
0081 001 15.12
0082 001 25.99
0083 001 18.22
0084 001 25.34
0085 001 -2.47
0086 001 8.36
0087 001 19.27
0088 001 22.65
0089 001 22.48
0090 001 26.16
0091 001 18.94
0092 001 16.11
0093 001 12.88
0094 001 20.55
0095 001 19.16
0096 001 22.73
0097 001 25.76
0098 001 24.48
0099 001 24.35
0100 001 11.09
0101 001 20.23
0102 001 17.86
0103 001 4.84
0104 001 5.62
0105 001 9.87
0106 001 10.13
0107 001 10.37
0108 001 8.09
0109 001 -9.28
0110 001 -0.26
0111 001 -6.59
0112 001 8.57
0113 001 6.44
0114 001 -1.09
0115 001 -13.63
0116 001 -11.31
0117 001 17.35
0118 001 20.67
0119 001 18.61
0120 001 23.79
0121 001 21.85
0122 001 3.79
0123 001 3.19
0124 001 3.69
0125 001 1.11
0126 001 -3.30
0127 001 -15.04
0128 001 5.12
0129 001 4.66
0130 001 0.98
0131 001 -3.46
0132 001 5.66
0133 001 -3.65
0134 001 20.61
0135 001 -7.77
0136 001 19.44
0137 001 22.30
0138 001 14.31
0139 001 18.16
0140 001 10.09
0141 001 15.59
0142 001 17.03
0143 001 22.32
0144 001 20.03
0145 001 9.02
0146 001 15.03
0147 001 14.25
0148 001 17.23
0149 001 22.41
0150 001 16.69
0151 001 23.38
0152 001 4.87
0153 001 13.88
0154 001 10.15
0155 001 9.55
0156 001 13.48
0157 001 21.42
0158 001 20.47
0159 001 10.15
0160 001 18.29
0161 001 12.14
0162 001 9.85
0163 001 10.29
0164 001 21.54
0165 001 9.89
0166 001 16.13
0167 001 13.62
0168 001 11.10
0169 001 23.50
0170 001 8.89
0171 001 9.97
0172 001 10.17
0173 001 17.57
0174 001 16.72
0175 001 17.06
0176 001 24.30
0177 001 14.09
0178 001 10.13
0179 001 16.28
0180 001 7.25
0181 001 14.51
0182 001 12.57
0183 001 13.84
0184 001 17.90
0185 001 22.22
0186 001 10.91
0187 001 23.18
0188 001 23.38
0189 001 22.34
0190 001 9.50
0191 001 -1.57
0192 001 15.25
0193 001 18.73
0194 001 21.16
0195 001 16.63
0196 001 20.34
0197 001 4.39
0198 001 5.82
0199 001 5.95
0200 001 12.44
0201 001 4.39
0202 001 15.20
0203 001 12.51
0204 001 12.49
0205 001 16.22
0206 001 4.79
0207 001 1.43
0208 001 21.86
0209 001 18.92
0210 001 15.47
0211 001 21.85
0212 001 21.39
0213 001 24.10
