"% Please cite these data as: R. Pinhasi, J. Fort & A. Ammerman, Tracing the origin and spread of agriculture in Europe (2005), PLoS Biology xx, xxx-xxx, Suppl. Info. 1. ";;;;;;;;;;;;
"Latitude";"Longitude";"Site";"Location";"Country";"Period";"Period_simplified";;"Lab Number";"Uncal C14 BP";"Uncal C14_SD";"CAL C14 BP";"CAL_SD"
36,7200;42,8800;"Nemrik 9";"Near East";"Iraq";"PPNA";"PPNA";;"GD-6148";10070;120;11592;225
36,3605;43,1191;"Sotto";"Near East";"Iraq";"Pottery Neolithic";"Pottery Neolithic";;"IGAN-769";7470;60;8278;65
36,3333;43,5000;"Mlefaat";"Near East";"Iraq";"Mlefatian";"Mlefatian";;"Gd-6150";10890;140;12811;75
34,1670;43,8330;"Sawwan I";"Near East";"Iraq";"Pottery Neolithic";"Pottery Neolithic";;"P-855";7456;73;8267;71
35,4681;44,3922;"Shimshara";"Near East";"Iraq";"PPN";"PPN";;"K-981";10030;160;11582;264
36,7797;44,4478;"Gawra";"Near East";"Iraq";"Pottery Neolithic";"Pottery Neolithic";;"P-1494";7002;82;7824;84
35,5500;44,9500;"Jarmo";"Near East";"Iraq";"PPN";"PPN";;"H-551/-491";8525;175;9552;235
36,7229;56,8184;"Yarim Tepe I";"Near East";"Iraq";"Pottery Neolithic";"Pottery Neolithic";;"LE-1086";7150;90;7959;93
31,7167;34,6333;"Nizzanim";"Near East";"Israel";"Pottery Neolithic";"Pottery Neolithic";;"Hv-8509";6740;90;7592;76
29,9397;34,9404;"Uvda Valley";"Near East";"Israel";"Pottery Neolithic";"Pottery Neolithic";;"none";6560;90;7458;86
32,7167;34,9500;"Megadim";"Near East";"Israel";"Pottery Neolithic";"Pottery Neolithic";;"Pta-3652";7060;70;7870;66
32,8000;34,9500;"Samir";"Near East";"Israel";"Pottery Neolithic";"Pottery Neolithic";;"Pta-3821";6830;60;7668;50
29,8962;35,0141;"Nahal Issaron";"Near East";"Israel";"Pottery Neolithic";"Pottery Neolithic";;"Pta-2999";6460;80;7369;67
32,0000;35,4200;"Netiv Hagdud";"Near East";"Israel";"PPNA";"PPNA";;"RT-762C";9970;150;11497;226
32,6200;35,5511;"Munhata";"Near East";"Israel";"Pottery Neolithic";"Pottery Neolithic";;"Ly-4927";7330;70;8128;78
32,6833;35,6000;"Shaar Hagolan";"Near East";"Israel";"Pottery Neolithic";"Pottery Neolithic";;"OxA-7919*";7495;50;8290;65
32,1167;35,8833;"Qanah";"Near East";"Israel";"Pottery Neolithic";"Pottery Neolithic";;"RT-1544";7050;78;7860;75
32,1558;34,9528;"Gilgal";"Near East";"Israel";"PPNA";"PPNA";;"Pta-4588";9920;70;11377;134
31,7833;35,1500;"Hatoula";"Near East";"Israel";"PPNA";"PPNA";;"GifA-91139";10170;120;11731;247
31,8800;35,4500;"Jericho";"Near East";"Israel";"PPNA";"PPNA";;"P-378";9775;110;11086;186
32,6200;35,5511;"Gesher";"Near East";"Israel";"PPNA";"PPNA";;"Pta-4553";10020;100;11507;178
31,6667;34,5330;"Ashkelon";"Near East";"Israel";"PPNC";"PPNC";;"OxA-7882";8000;110;8851;161
30,8333;34,7833;"Divshon";"Near East";"Israel";"PPNB";"PPNB";;"SMU-3";8900;180;9955;234
31,6000;34,7833;"Iraq el-Barud";"Near East";"Israel";"PPNB";"PPNB";;"Hv-3368";9120;85;10314;99
31,0000;34,8000;"Reuel";"Near East";"Israel";"PPNB";"PPNB";;"Pta-3137";8720;70;9734;127
32,7500;34,9000;"Atlit-Yam";"Near East";"Israel";"PPNC?";"PPNC";;"Pta-3950";8000;90;8848;141
29,9167;34,9500;"Issaron";"Near East";"Israel";"PPNC?";"PPNC";;"Pta-2999";8460;80;9440;81
33,0708;35,1361;"Betzet 1";"Near East";"Israel";"PPN";"PPN";;"RT-1394";8330;100;9302;136
33,0500;35,2500;"Horvat Galil";"Near East";"Israel";"PPNB";"PPNB";;"RT-1397";9340;70;10533;110
32,6937;35,3114;"Yiftahel";"Near East";"Israel";"PPNB";"PPNB";;"Pta-4242";8870;90;9948;167
31,0500;35,3700;"Mezad Mazal";"Near East";"Israel";"PPNB";"PPNB";;"B-2737";8480;70;9477;51
31,1417;35,3722;"Hemar";"Near East";"Israel";"PPNB";"PPNB";;"Pta-3625";8850;90;9929;173
31,0670;35,5000;"Tel Ali";"Near East";"Israel";"PPNC";"PPNC";;"OxA-7886*";7975;70;8830;126
30,1500;35,2167;"Burqu 35";"Near East";"Jordan";"Pottery Neolithic";"Pottery Neolithic";;"OxA-2770";8270;80;9258;125
29,5500;35,4000;"Ayn Abu Nukhayla";"Near East";"Jordan";"PPNB";"PPNB";;"none";8509;64;9503;39
30,3700;35,4300;"Beidha";"Near East";"Jordan";"PPNB";"PPNB";;"GrN-5062";9030;50;10178;50
30,6256;35,4453;"Wadi Faynan 16";"Near East";"Jordan";"PPNA";"PPNA";;"Beta-120210";10220;60;11851;103
30,6700;35,4670;"Feinan";"Near East";"Jordan";"Pottery Neolithic";"Pottery Neolithic";;"HD-12335";6360;45;7308;52
30,3167;35,4833;"Basja";"Near East";"Jordan";"LPPNB";"LPPNB";;"Bln-5123";8100;33;9050;42
30,2333;35,5333;"Basta";"Near East";"Jordan";"LPPNB";"LPPNB";;"GrN-14538";8155;50;9127;85
31,2500;35,5670;"Dhra";"Near East";"Jordan";"PPNA";"PPNA";;"AA-38142";10059;73;11535;160
31,4631;35,5683;"Shueib";"Near East";"Jordan";"LPPNB";"LPPNB";;"Bta-35087";9100;140;10237;210
32,5000;35,5833;"Tabaqat al-Buma";"Near East";"Jordan";"Pottery Neolithic";"Pottery Neolithic";;"TO-1407";7800;70;8584;100
31,8000;35,6000;"Ghassul";"Near East";"Jordan";"Pottery Neolithic";"Pottery Neolithic";;"SUA-734";6370;105;7276;113
31,0900;35,6400;"Iraq ed-Dubb";"Near East";"Jordan";"PPNA";"PPNA";;"OxA-2567";9950;100;11428;159
31,9667;35,7333;"Bawwab al-Ghazal";"Near East";"Jordan";"PPNB";"PPNB";;"KN-5454";8273;59;9265;114
32,3833;35,7333;"Sabha";"Near East";"Jordan";"PPNB";"PPNB";;"TO-3987";8430;70;9422;82
31,1333;35,7500;"Ghwair";"Near East";"Jordan";"MPPNB";"MPPNB";;"DRI-3253";9027;116;10133;181
32,6167;35,9333;"Rahub";"Near East";"Jordan";"Pottery Neolithic";"Pottery Neolithic";;"GrN-14539";7480;90;8277;81
32,0833;36,1000;"Ain Ghazal";"Near East";"Jordan";"MPPNB-1";"MPPNB";;"GrN-12966";9200;110;10389;126
32,0500;36,2333;"Dhuweila";"Near East";"Jordan";"MPPNB";"MPPNB";;"none";8910;60;10031;109
32,0833;36,3667;"Khirbet Hammam";"Near East";"Jordan";"LPPNB";"LPPNB";;"GrN-26147";8370;40;9388;66
31,5000;36,4167;"Jilat 7";"Near East";"Jordan";"EPPNB";"EPPNB";;"OxA-2413";8390;80;9385;92
31,8333;36,8167;"Azraq 31";"Near East";"Jordan";"LPPNB";"LPPNB";;"OxA-2412";8275;80;9262;126
34,1167;35,6500;"Byblos";"Near East";"Lebanon";"Pottery Neolithic";"Pottery Neolithic";;"GrN-1544";7360;70;8171;102
34,1167;35,6700;"Labwé";"Near East";"Lebanon";"PPNC?";"PPNC";;"K-1430";7990;140;8854;196
33,9633;36,1572;"Ard Tlaili";"Near East";"Lebanon";"Pottery Neolithic";"Pottery Neolithic";;"K-1432";6870;130;7723;113
35,5833;35,7500;"Ras Shamra";"Near East";"Syria";"PPNB";"PPNB";;"P-460";8364;101;9333;128
33,4500;36,0830;"Ramad";"Near East";"Syria";"Pottery Neolithic";"Pottery Neolithic";;"GrN-4823";7880;55;8748;126
33,5882;36,3818;"Aswad";"Near East";"Syria";"PPNA";"PPNA";;"Gif-2633";9730;120;11025;187
35,9167;36,4667;"Aray 2";"Near East";"Syria";"Pottery Neolithic";"Pottery Neolithic";;"N-5976";8290;145;9253;170
35,8333;37,2500;"Ghorafie";"Near East";"Syria";"Pottery Neolithic";"Pottery Neolithic";;"Gif-3372";8150;190;9056;273
36,2167;37,4000;"Sinn";"Near East";"Syria";"LPPNB";"LPPNB";;"GrN-9833";8650;50;9625;62
36,4167;38,1667;"Halula";"Near East";"Syria";"PPNB";"PPNB";;"Beta-58928";8700;60;9699;107
36,4000;38,2000;"Jerf el Ahmar";"Near East";"Syria";"PPNA";"PPNA";;"Ly-10651";9965;55;11405;122
36,0500;38,2000;"Mureybet";"Near East";"Syria";"PPNA";"PPNA";;"P-1217";10215;117;11855;251
36,5000;38,3000;"Djade";"Near East";"Syria";"EPPNB";"EPPNB";;"Ly-8842";9370;75;10577;110
35,8667;38,4000;"Abu Hureyra";"Near East";"Syria";"PPNB";"PPNB";;"OxA-1228";9680;90;10987;166
36,9500;39,0330;"Assouad";"Near East";"Syria";"Pottery Neolithic";"Pottery Neolithic";;"MC-864";8450;120;9412;119
36,8670;39,0500;"Damishliyah";"Near East";"Syria";"Pottery Neolithic";"Pottery Neolithic";;"UtC-1094/";7920;110;8782;162
38,8500;39,1667;"El Kowm 2";"Near East";"Syria";"LPPNB";"LPPNB";;"Ly-4400";8030;80;8882;135
35,1500;40,4333;"Bouqras";"Near East";"Syria";"PPNB";"PPNB";;"GrN-8262";8380;45;9394;69
36,9333;40,5667;"Sabi Abyad II";"Near East";"Syria";"LPPNB";"LPPNB";;"GrN-21319";8530;60;9518;36
36,6361;40,6639;"Kashkashok II";"Near East";"Syria";"Cypro-PPN";"PPN";;"TK-859";7880;110;8744;176
38,4833;37,4167;"Mezraa Teleilat";"Anatolia";"Turkey";"PPN";"PPN";;"AA-49102";9324;59;10511;96
37,4000;37,9500;"Hayaz Höyük";"Anatolia";"Turkey";"PPNB";"PPNB";;"GrN-12510";8300;60;9292;110
36,9167;38,0167;"Akarcay Tepe";"Anatolia";"Turkey";"PPN";"PPN";;"Beta-138548";8750;40;9754;104
37,4830;38,4830;"Kumartepe";"Anatolia";"Turkey";"Pottery Neolithic";"Pottery Neolithic";;"GrN-12652";7930;80;8798;139
37,5500;38,5670;"Gritille";"Anatolia";"Turkey";"PPNB";"PPNB";;"Beta-13216";8610;90;9636;102
37,5833;38,6500;"Nevali Cori";"Anatolia";"Turkey";"PPNB";"PPNB";;"OxA-8303";9280;55;10434;103
38,4600;38,7800;"Cafer Höyük";"Anatolia";"Turkey";"EPPNB";"EPPNB";;"Ly-4437";8950;80;10049;122
37,2167;38,9167;"Göbekli";"Anatolia";"Turkey";"PPNB";"PPNB";;"Hd-20036";9559;53;10909;143
38,2300;39,6500;"Cayönü";"Anatolia";"Turkey";"PPNA";"PPNA";;"GrN-8103";10430;80;12300;200
38,2500;39,9700;"Girikihacian";"Anatolia";"Turkey";"Neolithic";"Neolithic";;"Grn-6246";6950;45;7766;48
36,6600;42,5000;"Magzalia";"Anatolia";"Turkey";"Neolithic";"Neolithic";;"IGAN-772";8010;50;8878;99
38,3100;41,2700;"Hallan Cemi Tepsi";"Anatolia";"Turkey";"PPNA";"PPNA";;"BETA-55052";10590;170;12429;268
36,1000;43,2000;"Hassuna";"Anatolia";"Turkey";"Pottery Neolithic";"Pottery Neolithic";;"W-660";7040;200;7877;182
40,4670;29,3000;"Ilipinar";"Anatolia";"Turkey";"Pottery Neolithic";"Pottery Neolithic";;"GrN-19351";7195;40;7995;32
40,2670;29,5167;"Mentese";"Anatolia";"Turkey";"Pottery Neolithic";"Pottery Neolithic";;"GrN-25819";7550;50;8331;61
37,5800;30,0800;"Hacilar Aceramic";"Anatolia";"Turkey";"Aceramic";"Aceramic";;"BM-127";8700;180;9805;238
37,6167;30,1500;"Kurucay Höyük";"Anatolia";"Turkey";"Pottery Neolithic";"Pottery Neolithic";;"HD-12915";7310;70;8108;70
