# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual gdd0
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  07-Dec-2010 09:14:42 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 07-Dez-2010 09:14:26 (c)2010 lemmen
0001 001 217.50
0002 001 148.87
0003 001 258.16
0004 001 0.05
0005 001 288.82
0006 001 94.62
0007 001 93.57
0008 001 208.73
0009 001 256.30
0010 001 283.32
0011 001 154.53
0012 001 238.23
0013 001 308.28
0014 001 267.50
0015 001 178.03
0016 001 219.02
0017 001 299.68
0018 001 301.31
0019 001 205.50
0020 001 95.19
0021 001 72.04
0022 001 284.56
0023 001 289.37
0024 001 91.02
0025 001 259.42
0026 001 83.50
0027 001 46.66
0028 001 129.02
0029 001 85.61
0030 001 175.34
0031 001 0.80
0032 001 311.89
0033 001 288.34
0034 001 97.85
0035 001 32.52
0036 001 307.54
0037 001 271.41
0038 001 268.52
0039 001 106.93
0040 001 284.31
0041 001 151.85
0042 001 153.69
0043 001 275.31
0044 001 140.60
0045 001 312.56
0046 001 243.44
0047 001 277.45
0048 001 305.84
0049 001 210.67
0050 001 286.77
0051 001 313.43
0052 001 274.49
0053 001 118.21
0054 001 271.18
0055 001 277.80
0056 001 300.04
0057 001 265.15
0058 001 128.54
0059 001 79.92
0060 001 152.77
0061 001 304.46
0062 001 32.10
0063 001 297.57
0064 001 254.14
0065 001 268.84
0066 001 249.23
0067 001 314.75
0068 001 84.10
0069 001 180.88
0070 001 287.03
0071 001 121.49
0072 001 161.93
0073 001 310.93
0074 001 276.74
0075 001 320.64
0076 001 82.13
0077 001 306.17
0078 001 75.63
0079 001 296.38
0080 001 228.87
0081 001 181.41
0082 001 311.89
0083 001 218.60
0084 001 304.02
0085 001 53.86
0086 001 100.29
0087 001 231.21
0088 001 271.80
0089 001 269.75
0090 001 313.95
0091 001 227.30
0092 001 193.34
0093 001 154.56
0094 001 246.62
0095 001 229.90
0096 001 272.82
0097 001 309.07
0098 001 293.77
0099 001 292.23
0100 001 133.14
0101 001 242.79
0102 001 214.57
0103 001 81.83
0104 001 92.26
0105 001 119.25
0106 001 129.59
0107 001 127.01
0108 001 106.67
0109 001 43.12
0110 001 77.41
0111 001 62.97
0112 001 135.85
0113 001 110.30
0114 001 81.72
0115 001 45.30
0116 001 52.15
0117 001 208.16
0118 001 248.07
0119 001 223.32
0120 001 285.48
0121 001 262.19
0122 001 79.50
0123 001 62.44
0124 001 98.41
0125 001 66.18
0126 001 42.56
0127 001 26.94
0128 001 90.05
0129 001 97.93
0130 001 64.87
0131 001 53.09
0132 001 104.50
0133 001 41.32
0134 001 247.29
0135 001 35.75
0136 001 233.76
0137 001 267.62
0138 001 172.24
0139 001 221.95
0140 001 124.61
0141 001 188.35
0142 001 204.39
0143 001 267.80
0144 001 240.41
0145 001 127.83
0146 001 184.73
0147 001 176.33
0148 001 208.23
0149 001 269.15
0150 001 200.22
0151 001 280.57
0152 001 92.23
0153 001 169.86
0154 001 124.51
0155 001 133.70
0156 001 173.63
0157 001 257.06
0158 001 246.08
0159 001 137.39
0160 001 221.39
0161 001 154.22
0162 001 122.55
0163 001 129.55
0164 001 258.73
0165 001 125.43
0166 001 193.54
0167 001 174.49
0168 001 142.16
0169 001 281.97
0170 001 111.77
0171 001 127.53
0172 001 124.48
0173 001 210.84
0174 001 205.64
0175 001 204.66
0176 001 291.60
0177 001 179.22
0178 001 124.55
0179 001 195.42
0180 001 91.67
0181 001 175.89
0182 001 162.75
0183 001 178.87
0184 001 215.26
0185 001 266.67
0186 001 144.41
0187 001 278.22
0188 001 280.61
0189 001 268.11
0190 001 142.74
0191 001 85.76
0192 001 186.96
0193 001 224.74
0194 001 253.97
0195 001 201.09
0196 001 244.14
0197 001 104.50
0198 001 114.48
0199 001 124.97
0200 001 152.07
0201 001 85.16
0202 001 184.97
0203 001 156.22
0204 001 160.74
0205 001 194.67
0206 001 102.56
0207 001 62.42
0208 001 262.33
0209 001 227.05
0210 001 185.70
0211 001 262.25
0212 001 256.68
0213 001 289.24
