# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual temp
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:55:05 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0328 001 17.25
0329 001 14.55
0330 001 22.31
0331 001 17.75
0332 001 17.69
0333 001 16.06
0334 001 17.59
0335 001 17.61
0336 001 16.38
0337 001 18.39
0338 001 17.53
0339 001 16.30
0340 001 16.11
0341 001 18.62
0342 001 16.30
0343 001 14.75
0344 001 19.68
0345 001 18.28
0346 001 17.85
0347 001 17.57
0348 001 16.53
0349 001 23.06
0350 001 17.69
0351 001 15.62
0352 001 16.73
0353 001 17.54
0354 001 20.28
0355 001 17.52
0356 001 16.27
0357 001 17.68
0358 001 19.53
0359 001 22.35
0360 001 17.74
0361 001 17.59
0362 001 16.17
0363 001 18.21
0364 001 17.67
0365 001 17.32
0366 001 16.29
0367 001 16.43
0368 001 20.80
0369 001 18.08
0370 001 17.21
0371 001 19.86
0372 001 19.23
0373 001 22.86
0374 001 17.95
0375 001 21.70
0376 001 20.73
0377 001 19.14
0378 001 19.38
0379 001 26.56
0380 001 19.37
0381 001 18.87
0382 001 20.63
0383 001 19.58
0384 001 19.75
0385 001 16.88
0386 001 17.65
0387 001 20.39
0388 001 19.22
0389 001 20.63
0390 001 16.72
0391 001 20.04
0392 001 22.11
0393 001 18.80
0394 001 16.16
0395 001 20.61
0396 001 25.96
0397 001 19.71
0398 001 18.63
0399 001 18.61
0400 001 21.88
0401 001 16.49
0402 001 20.75
0403 001 21.56
0404 001 22.31
0405 001 19.25
0406 001 16.16
0407 001 19.80
0408 001 19.70
0409 001 20.38
0410 001 23.06
0411 001 18.70
0412 001 17.55
0413 001 18.97
0414 001 23.86
0415 001 22.19
0416 001 18.56
0417 001 22.78
0418 001 20.00
0419 001 17.55
0420 001 20.11
0421 001 23.93
0422 001 23.12
0423 001 23.01
0424 001 20.37
0425 001 22.64
0426 001 28.85
0427 001 21.24
0428 001 22.40
0429 001 24.50
0430 001 23.58
0431 001 22.19
0432 001 19.51
0433 001 25.13
0434 001 19.24
0435 001 21.82
0436 001 22.00
0437 001 25.41
0438 001 22.21
0439 001 20.42
0440 001 22.87
0441 001 19.51
0442 001 21.27
0443 001 20.96
0444 001 22.91
0445 001 23.33
0446 001 24.98
0447 001 25.34
0448 001 19.78
