# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual npp
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:55:05 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0340 001 549.00
0341 001 121.40
0342 001 447.23
0343 001 624.97
0344 001 785.44
0345 001 688.43
0346 001 734.41
0347 001 733.00
0348 001 459.46
0349 001 163.18
0350 001 572.50
0351 001 480.30
0352 001 563.55
0353 001 679.75
0354 001 111.05
0355 001 653.26
0356 001 479.34
0357 001 589.34
0358 001 1027.99
0359 001 107.79
0360 001 823.31
0361 001 734.31
0362 001 534.00
0363 001 158.96
0364 001 570.65
0365 001 546.04
0366 001 451.13
0367 001 477.61
0368 001 738.82
0369 001 735.90
0370 001 627.52
0371 001 748.92
0372 001 511.49
0373 001 147.86
0374 001 839.27
0375 001 885.95
0376 001 651.72
0377 001 611.09
0378 001 587.67
0379 001 208.14
0380 001 543.31
0381 001 392.11
0382 001 658.64
0383 001 687.10
0384 001 539.81
0385 001 208.28
0386 001 654.80
0387 001 686.07
0388 001 506.08
0389 001 658.10
0390 001 563.67
0391 001 471.06
0392 001 136.56
0393 001 548.51
0394 001 492.07
0395 001 665.32
0396 001 198.51
0397 001 655.19
0398 001 550.14
0399 001 590.98
0400 001 862.80
0401 001 237.68
0402 001 1006.07
0403 001 833.28
0404 001 758.96
0405 001 599.64
0406 001 898.83
0407 001 417.68
0408 001 231.05
0409 001 520.56
0410 001 788.57
0411 001 548.17
0412 001 338.39
0413 001 405.18
0414 001 597.05
0415 001 790.29
0416 001 401.13
0417 001 862.73
0418 001 459.23
0419 001 343.83
0420 001 792.87
0421 001 965.08
0422 001 777.38
0423 001 806.15
0424 001 282.07
0425 001 885.02
0426 001 367.51
0427 001 433.46
0428 001 464.33
0429 001 965.41
0430 001 971.60
0431 001 789.87
0432 001 433.72
0433 001 979.94
0434 001 364.16
0435 001 441.89
0436 001 1042.72
0437 001 821.17
0438 001 795.34
0439 001 295.47
0440 001 250.50
0441 001 433.72
0442 001 433.85
0443 001 430.32
0444 001 751.27
0445 001 1029.94
0446 001 986.89
0447 001 862.93
0448 001 905.02
0449 001 968.27
0450 001 317.65
0451 001 685.67
0452 001 905.51
0453 001 273.82
0454 001 968.27
0455 001 821.17
0456 001 1050.99
0457 001 993.72
0458 001 438.96
0459 001 281.57
0460 001 226.35
0461 001 633.88
0462 001 382.71
0463 001 491.85
0464 001 992.00
0465 001 864.06
0466 001 628.36
0467 001 969.70
0468 001 1051.16
0469 001 931.01
0470 001 294.73
0471 001 857.41
