# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual prec
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:55:05 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0328 001 829.03
0329 001 1234.95
0330 001 112.18
0331 001 1073.91
0332 001 749.67
0333 001 639.51
0334 001 1236.75
0335 001 1096.39
0336 001 847.65
0337 001 1167.53
0338 001 915.74
0339 001 550.60
0340 001 710.32
0341 001 130.75
0342 001 551.06
0343 001 864.74
0344 001 1171.46
0345 001 960.50
0346 001 1053.66
0347 001 1050.11
0348 001 572.69
0349 001 178.76
0350 001 749.67
0351 001 615.52
0352 001 736.01
0353 001 945.43
0354 001 119.20
0355 001 893.35
0356 001 601.03
0357 001 783.10
0358 001 2100.08
0359 001 115.75
0360 001 1249.92
0361 001 1052.83
0362 001 686.46
0363 001 179.63
0364 001 746.58
0365 001 705.44
0366 001 557.15
0367 001 596.77
0368 001 1062.37
0369 001 1058.26
0370 001 846.66
0371 001 1093.28
0372 001 650.22
0373 001 161.33
0374 001 1734.83
0375 001 1417.62
0376 001 890.61
0377 001 819.94
0378 001 778.09
0379 001 231.64
0380 001 700.96
0381 001 471.01
0382 001 903.45
0383 001 960.07
0384 001 695.20
0385 001 235.96
0386 001 897.78
0387 001 957.10
0388 001 640.98
0389 001 902.44
0390 001 737.20
0391 001 612.86
0392 001 147.96
0393 001 709.52
0394 001 622.41
0395 001 916.15
0396 001 220.38
0397 001 896.97
0398 001 712.20
0399 001 781.63
0400 001 1356.38
0401 001 267.60
0402 001 1793.20
0403 001 1302.60
0404 001 1105.39
0405 001 799.60
0406 001 1721.62
0407 001 508.43
0408 001 274.26
0409 001 664.02
0410 001 1171.53
0411 001 709.01
0412 001 398.83
0413 001 489.56
0414 001 810.03
0415 001 1173.73
0416 001 483.79
0417 001 1346.11
0418 001 571.27
0419 001 406.16
0420 001 1179.88
0421 001 1629.20
0422 001 1144.96
0423 001 1212.77
0424 001 323.58
0425 001 1467.33
0426 001 437.29
0427 001 530.50
0428 001 624.42
0429 001 1630.23
0430 001 1654.59
0431 001 1172.77
0432 001 530.86
0433 001 1675.64
0434 001 433.55
0435 001 543.00
0436 001 1930.87
0437 001 1244.80
0438 001 1185.12
0439 001 341.77
0440 001 290.28
0441 001 530.86
0442 001 531.08
0443 001 525.88
0444 001 1096.66
0445 001 1865.10
0446 001 1697.49
0447 001 1350.31
0448 001 1513.62
0449 001 1638.96
0450 001 369.50
0451 001 988.90
0452 001 1458.06
0453 001 312.92
0454 001 1638.96
0455 001 1244.80
0456 001 1977.68
0457 001 1718.99
0458 001 538.59
0459 001 323.82
0460 001 256.25
0461 001 902.53
0462 001 461.37
0463 001 655.37
0464 001 1765.46
0465 001 1353.18
0466 001 851.70
0467 001 1645.11
0468 001 1916.96
0469 001 1530.24
0470 001 341.08
0471 001 1332.77
0472 001 1817.58
0473 001 240.96
0474 001 1800.58
0475 001 1773.26
0476 001 2126.04
0477 001 1621.16
0478 001 413.88
0479 001 1708.10
0480 001 699.38
0481 001 2240.55
0482 001 1559.42
0483 001 1516.22
0484 001 2082.49
0485 001 421.29
0486 001 1351.27
0487 001 2262.69
0488 001 1561.12
0489 001 732.52
0490 001 1473.93
0491 001 1739.45
0492 001 1890.18
0493 001 2186.21
0494 001 2126.04
0495 001 1671.10
0496 001 1916.98
0497 001 729.80
0498 001 1530.18
0499 001 1497.48
0500 001 1689.15
0501 001 2406.37
0502 001 1317.60
0503 001 1972.26
0504 001 1646.67
0505 001 2348.38
0506 001 1284.20
0507 001 1441.10
0508 001 2049.13
0509 001 2270.16
0510 001 2224.43
0511 001 2284.07
0512 001 2110.20
0513 001 1563.42
0514 001 2481.91
0515 001 1731.64
0516 001 2693.10
0517 001 2152.57
0518 001 2257.15
0519 001 2268.15
0520 001 2570.29
0521 001 1912.26
0522 001 1683.31
0523 001 1341.22
0524 001 2589.55
0525 001 2570.09
0526 001 2246.00
0527 001 1645.34
0528 001 1688.58
0529 001 2147.91
0530 001 1715.97
0531 001 1883.55
0532 001 2471.68
0533 001 2348.67
0534 001 3682.34
0535 001 2431.08
0536 001 1786.51
0537 001 3469.21
0538 001 2289.81
0539 001 2359.86
0540 001 2284.53
0541 001 2001.76
0542 001 2629.10
0543 001 3450.34
0544 001 2216.62
0545 001 1846.93
0546 001 1905.00
0547 001 2442.62
0548 001 2631.87
0549 001 2141.83
0550 001 2680.73
0551 001 3003.18
0552 001 2194.55
0553 001 3492.49
0554 001 2533.74
0555 001 2002.09
0556 001 1825.69
0557 001 2397.19
0558 001 2701.44
0559 001 1165.37
0560 001 2101.90
0561 001 2989.61
0562 001 1914.17
0563 001 2290.04
0564 001 3193.05
0565 001 1868.31
0566 001 3483.95
0567 001 1770.73
0568 001 1950.23
0569 001 757.99
0570 001 1311.59
0571 001 3349.59
0572 001 705.59
0573 001 2026.44
0574 001 2279.43
0575 001 2122.34
0576 001 3195.46
0577 001 1965.96
0578 001 2243.13
0579 001 820.05
0580 001 1947.43
0581 001 704.32
0582 001 1084.03
0583 001 1316.67
0584 001 851.39
0585 001 1758.45
0586 001 1890.91
0587 001 2019.88
0588 001 1671.88
0589 001 1967.96
0590 001 394.70
0591 001 1817.19
0592 001 500.16
0593 001 452.62
0594 001 569.76
0595 001 467.38
0596 001 522.78
0597 001 1751.94
0598 001 1877.78
0599 001 2274.69
0600 001 3317.88
0601 001 462.67
0602 001 394.70
0603 001 1774.56
0604 001 1979.47
0605 001 394.70
0606 001 1955.13
0607 001 1696.44
0608 001 1811.01
0609 001 1702.24
0610 001 1740.69
0611 001 1963.42
0612 001 2517.20
0613 001 2210.60
0614 001 2201.60
0615 001 512.86
0616 001 543.91
0617 001 1709.79
0618 001 456.96
0619 001 488.65
0620 001 2001.36
0621 001 480.23
0622 001 1986.31
0623 001 1479.21
0624 001 135.47
0625 001 1453.23
0626 001 1630.74
0627 001 1370.25
0628 001 1368.57
0629 001 122.38
0630 001 1758.95
0631 001 1646.31
0632 001 1501.14
0633 001 738.56
0634 001 2376.07
0635 001 1917.53
0636 001 1368.57
0637 001 1631.51
0638 001 107.46
0639 001 2320.34
0640 001 1371.55
0641 001 1323.28
0642 001 1280.05
0643 001 375.75
0644 001 2046.87
0645 001 1605.83
0646 001 1758.49
0647 001 1522.96
0648 001 1192.85
0649 001 335.80
0650 001 1551.24
0651 001 1662.08
0652 001 1287.49
0653 001 1489.53
0654 001 1319.94
0655 001 1497.70
0656 001 2659.50
0657 001 1192.85
0658 001 1283.09
0659 001 851.32
0660 001 1516.83
0661 001 1243.12
0662 001 1243.12
0663 001 1938.95
0664 001 1601.65
0665 001 1649.35
0666 001 1985.84
0667 001 1242.67
0668 001 1670.30
0669 001 1400.70
0670 001 1413.72
0671 001 1643.02
0672 001 1901.21
0673 001 1901.21
0674 001 1192.08
0675 001 851.07
0676 001 1075.38
0677 001 784.99
0678 001 1220.32
0679 001 884.27
0680 001 936.51
0681 001 1219.50
0682 001 1140.25
0683 001 1184.22
0684 001 1189.97
0685 001 1022.40
