# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual prec
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  07-Dec-2010 09:14:42 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 07-Dez-2010 09:14:26 (c)2010 lemmen
0001 001 241.42
0002 001 1315.36
0003 001 420.60
0004 001 302.76
0005 001 714.75
0006 001 1277.09
0007 001 1117.38
0008 001 1005.63
0009 001 2032.40
0010 001 2184.90
0011 001 613.55
0012 001 2432.18
0013 001 1705.89
0014 001 1975.75
0015 001 364.53
0016 001 1786.76
0017 001 1802.59
0018 001 1407.34
0019 001 278.20
0020 001 1249.26
0021 001 1046.62
0022 001 2154.48
0023 001 148.81
0024 001 1260.11
0025 001 1621.62
0026 001 821.34
0027 001 822.35
0028 001 1215.54
0029 001 1057.00
0030 001 862.24
0031 001 445.27
0032 001 323.84
0033 001 1839.12
0034 001 1227.82
0035 001 534.28
0036 001 2189.57
0037 001 264.18
0038 001 118.44
0039 001 1169.78
0040 001 22.82
0041 001 1148.92
0042 001 1380.24
0043 001 1993.86
0044 001 1116.22
0045 001 1097.28
0046 001 430.82
0047 001 1806.80
0048 001 2205.36
0049 001 568.29
0050 001 1403.36
0051 001 2243.96
0052 001 598.87
0053 001 619.02
0054 001 280.04
0055 001 1935.02
0056 001 776.67
0057 001 818.81
0058 001 1234.35
0059 001 1010.97
0060 001 1142.14
0061 001 2218.14
0062 001 638.53
0063 001 848.16
0064 001 1250.64
0065 001 1343.49
0066 001 1150.71
0067 001 1735.40
0068 001 1098.27
0069 001 721.03
0070 001 1533.87
0071 001 855.26
0072 001 228.67
0073 001 704.74
0074 001 2320.95
0075 001 250.92
0076 001 1204.10
0077 001 2364.02
0078 001 1083.35
0079 001 1520.08
0080 001 1585.90
0081 001 1056.59
0082 001 1514.77
0083 001 903.09
0084 001 1023.80
0085 001 933.96
0086 001 1122.99
0087 001 138.40
0088 001 1823.24
0089 001 2299.32
0090 001 1418.71
0091 001 324.29
0092 001 372.28
0093 001 601.83
0094 001 2378.34
0095 001 790.03
0096 001 2238.35
0097 001 1385.97
0098 001 1401.83
0099 001 1074.02
0100 001 1284.15
0101 001 1960.12
0102 001 267.17
0103 001 1101.13
0104 001 852.95
0105 001 683.47
0106 001 563.02
0107 001 592.57
0108 001 813.63
0109 001 674.29
0110 001 824.68
0111 001 641.31
0112 001 452.40
0113 001 644.34
0114 001 525.11
0115 001 693.28
0116 001 843.49
0117 001 893.44
0118 001 226.26
0119 001 496.22
0120 001 1313.91
0121 001 669.29
0122 001 838.49
0123 001 1166.24
0124 001 670.62
0125 001 845.91
0126 001 868.80
0127 001 502.55
0128 001 997.96
0129 001 980.17
0130 001 794.48
0131 001 949.54
0132 001 696.91
0133 001 919.60
0134 001 1377.39
0135 001 876.56
0136 001 173.93
0137 001 655.37
0138 001 433.91
0139 001 415.52
0140 001 994.62
0141 001 1430.86
0142 001 1430.61
0143 001 1664.90
0144 001 1732.99
0145 001 337.13
0146 001 1252.79
0147 001 1329.33
0148 001 1006.97
0149 001 510.11
0150 001 1505.97
0151 001 582.03
0152 001 1045.90
0153 001 1426.09
0154 001 872.90
0155 001 1156.32
0156 001 853.46
0157 001 1085.96
0158 001 812.10
0159 001 577.75
0160 001 733.02
0161 001 311.67
0162 001 848.10
0163 001 1431.75
0164 001 313.92
0165 001 1419.74
0166 001 1560.70
0167 001 716.19
0168 001 1397.96
0169 001 453.41
0170 001 712.23
0171 001 1409.38
0172 001 835.64
0173 001 1744.72
0174 001 723.72
0175 001 1459.07
0176 001 459.52
0177 001 204.64
0178 001 913.73
0179 001 1536.86
0180 001 858.59
0181 001 1607.58
0182 001 1067.88
0183 001 431.37
0184 001 2441.44
0185 001 2157.58
0186 001 1349.74
0187 001 1998.41
0188 001 2080.38
0189 001 2209.46
0190 001 1535.69
0191 001 1207.62
0192 001 2497.72
0193 001 3003.45
0194 001 2659.24
0195 001 1531.31
0196 001 2550.74
0197 001 962.23
0198 001 1202.10
0199 001 1051.78
0200 001 1923.98
0201 001 1274.03
0202 001 2483.27
0203 001 1851.73
0204 001 1997.15
0205 001 2820.85
0206 001 394.71
0207 001 950.10
0208 001 1321.62
0209 001 1506.86
0210 001 843.83
0211 001 1798.42
0212 001 2264.12
0213 001 2318.42
