# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual temp
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:52:05 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:51:21 (c)2010 lemmen
0328 001 17.15
0329 001 14.52
0330 001 22.14
0331 001 17.71
0332 001 17.72
0333 001 16.02
0334 001 17.68
0335 001 17.68
0336 001 16.38
0337 001 18.37
0338 001 17.48
0339 001 16.29
0340 001 16.08
0341 001 18.60
0342 001 16.28
0343 001 14.66
0344 001 19.65
0345 001 18.24
0346 001 17.80
0347 001 17.52
0348 001 16.54
0349 001 22.80
0350 001 17.72
0351 001 15.61
0352 001 16.66
0353 001 17.49
0354 001 20.19
0355 001 17.47
0356 001 16.25
0357 001 17.72
0358 001 19.38
0359 001 22.18
0360 001 17.81
0361 001 17.54
0362 001 16.16
0363 001 18.20
0364 001 17.69
0365 001 17.29
0366 001 16.27
0367 001 16.44
0368 001 20.73
0369 001 18.04
0370 001 17.18
0371 001 19.91
0372 001 19.23
0373 001 22.63
0374 001 17.70
0375 001 21.52
0376 001 20.69
0377 001 19.12
0378 001 19.34
0379 001 26.27
0380 001 19.36
0381 001 18.57
0382 001 20.60
0383 001 19.59
0384 001 19.75
0385 001 16.72
0386 001 17.55
0387 001 20.36
0388 001 19.23
0389 001 20.60
0390 001 16.72
0391 001 19.98
0392 001 21.99
0393 001 18.78
0394 001 16.12
0395 001 20.58
0396 001 25.70
0397 001 19.74
0398 001 18.60
0399 001 18.56
0400 001 21.66
0401 001 16.48
0402 001 20.62
0403 001 21.52
0404 001 22.32
0405 001 19.21
0406 001 16.03
0407 001 19.79
0408 001 19.59
0409 001 20.43
0410 001 23.06
0411 001 18.68
0412 001 17.48
0413 001 18.92
0414 001 23.67
0415 001 22.18
0416 001 18.50
0417 001 22.77
0418 001 20.01
0419 001 17.49
0420 001 20.19
0421 001 23.05
0422 001 23.12
0423 001 23.00
0424 001 20.24
0425 001 22.04
0426 001 28.46
0427 001 21.13
0428 001 22.26
0429 001 24.45
0430 001 23.53
0431 001 22.18
0432 001 19.51
0433 001 24.84
0434 001 19.33
0435 001 21.77
0436 001 21.70
0437 001 25.36
0438 001 22.19
0439 001 20.29
0440 001 22.64
0441 001 19.51
0442 001 21.17
0443 001 20.82
0444 001 22.48
0445 001 23.01
0446 001 24.67
0447 001 25.28
0448 001 19.45
0449 001 25.14
0450 001 20.31
0451 001 22.25
0452 001 25.25
0453 001 20.23
0454 001 25.14
0455 001 25.36
0456 001 20.58
0457 001 24.50
0458 001 21.66
0459 001 20.27
0460 001 21.63
0461 001 22.74
0462 001 20.78
0463 001 24.13
0464 001 25.02
0465 001 25.28
0466 001 27.35
0467 001 25.19
0468 001 20.79
0469 001 26.39
0470 001 20.64
0471 001 25.82
0472 001 19.64
0473 001 22.89
0474 001 21.75
0475 001 18.47
0476 001 24.34
0477 001 24.50
0478 001 19.29
0479 001 24.22
0480 001 22.74
0481 001 20.72
0482 001 25.40
0483 001 26.59
0484 001 21.06
0485 001 22.82
0486 001 25.78
0487 001 25.94
0488 001 26.47
0489 001 23.16
0490 001 26.23
0491 001 22.25
0492 001 19.69
0493 001 22.78
0494 001 24.34
0495 001 24.79
0496 001 26.36
0497 001 23.15
0498 001 25.37
0499 001 26.30
0500 001 25.16
0501 001 25.98
0502 001 25.33
0503 001 22.04
0504 001 23.02
0505 001 20.38
0506 001 25.82
0507 001 25.89
0508 001 23.48
0509 001 19.96
0510 001 21.32
0511 001 23.79
0512 001 23.56
0513 001 26.20
0514 001 25.52
0515 001 24.30
0516 001 22.77
0517 001 23.43
0518 001 23.85
0519 001 19.89
0520 001 24.88
0521 001 22.79
0522 001 26.47
0523 001 26.38
0524 001 21.59
0525 001 25.71
0526 001 20.64
0527 001 26.00
0528 001 23.19
0529 001 22.09
0530 001 26.64
0531 001 26.67
0532 001 22.19
0533 001 21.13
0534 001 25.61
0535 001 23.03
0536 001 23.06
0537 001 25.73
0538 001 23.14
0539 001 21.30
0540 001 25.18
0541 001 26.07
0542 001 22.81
0543 001 25.51
0544 001 21.38
0545 001 26.23
0546 001 26.52
0547 001 22.23
0548 001 23.47
0549 001 22.05
0550 001 25.71
0551 001 25.18
0552 001 26.34
0553 001 25.20
0554 001 22.29
0555 001 25.71
0556 001 24.46
0557 001 23.09
0558 001 22.67
0559 001 24.91
0560 001 22.16
0561 001 22.00
0562 001 25.09
0563 001 21.00
0564 001 22.20
0565 001 25.30
0566 001 25.21
0567 001 26.57
0568 001 25.10
0569 001 27.50
0570 001 24.52
0571 001 22.44
0572 001 26.07
0573 001 26.57
0574 001 24.41
0575 001 24.66
0576 001 22.20
0577 001 26.56
0578 001 23.56
0579 001 24.99
0580 001 26.56
0581 001 26.24
0582 001 26.15
0583 001 24.42
0584 001 24.73
0585 001 26.57
0586 001 26.56
0587 001 26.57
0588 001 21.66
0589 001 26.50
0590 001 27.36
0591 001 26.55
0592 001 24.33
0593 001 27.03
0594 001 26.44
0595 001 26.60
0596 001 27.84
0597 001 25.66
0598 001 25.23
0599 001 24.70
0600 001 25.19
0601 001 25.56
0602 001 27.36
0603 001 25.35
0604 001 25.59
0605 001 27.36
0606 001 25.74
0607 001 25.24
0608 001 25.88
0609 001 24.94
0610 001 25.61
0611 001 25.49
0612 001 25.42
0613 001 24.43
0614 001 25.09
0615 001 24.27
0616 001 27.21
0617 001 25.96
0618 001 26.40
0619 001 27.44
0620 001 25.23
0621 001 26.46
0622 001 25.55
0623 001 23.69
0624 001 24.19
0625 001 22.73
0626 001 24.92
0627 001 23.56
0628 001 23.85
0629 001 25.24
0630 001 25.46
0631 001 23.26
0632 001 23.61
0633 001 26.00
0634 001 23.17
0635 001 25.78
0636 001 23.85
0637 001 23.76
0638 001 26.43
0639 001 23.21
0640 001 23.58
0641 001 21.49
0642 001 22.58
0643 001 18.59
0644 001 22.86
0645 001 23.47
0646 001 22.81
0647 001 21.32
0648 001 20.72
0649 001 19.02
0650 001 18.35
0651 001 20.23
0652 001 20.43
0653 001 21.06
0654 001 20.56
0655 001 21.06
0656 001 18.20
0657 001 20.72
0658 001 21.16
0659 001 17.63
0660 001 20.33
0661 001 21.56
0662 001 21.56
0663 001 18.38
0664 001 21.26
0665 001 20.22
0666 001 18.45
0667 001 15.83
0668 001 14.70
0669 001 18.06
0670 001 18.18
0671 001 18.25
0672 001 18.32
0673 001 18.32
0674 001 10.51
0675 001 10.13
0676 001 6.00
0677 001 10.17
0678 001 10.59
0679 001 10.26
0680 001 10.08
0681 001 10.29
0682 001 1.68
0683 001 1.77
0684 001 2.29
0685 001 -4.25
