# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual npp
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:54:13 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0340 001 572.85
0341 001 126.35
0342 001 466.05
0343 001 634.44
0344 001 786.00
0345 001 712.40
0346 001 753.52
0347 001 735.92
0348 001 474.75
0349 001 176.36
0350 001 585.85
0351 001 477.13
0352 001 556.32
0353 001 693.54
0354 001 117.78
0355 001 672.45
0356 001 499.89
0357 001 603.63
0358 001 1053.27
0359 001 117.23
0360 001 858.01
0361 001 738.95
0362 001 556.19
0363 001 164.83
0364 001 583.29
0365 001 549.20
0366 001 470.14
0367 001 493.57
0368 001 744.37
0369 001 752.44
0370 001 654.79
0371 001 758.92
0372 001 534.11
0373 001 160.01
0374 001 855.47
0375 001 943.46
0376 001 676.37
0377 001 625.39
0378 001 588.76
0379 001 222.42
0380 001 547.37
0381 001 365.19
0382 001 675.97
0383 001 714.19
0384 001 552.57
0385 001 212.00
0386 001 666.94
0387 001 707.17
0388 001 528.63
0389 001 675.48
0390 001 591.92
0391 001 469.92
0392 001 134.58
0393 001 539.64
0394 001 495.48
0395 001 682.38
0396 001 210.60
0397 001 677.07
0398 001 537.22
0399 001 603.17
0400 001 926.46
0401 001 258.63
0402 001 997.54
0403 001 855.89
0404 001 796.97
0405 001 608.43
0406 001 924.58
0407 001 444.48
0408 001 237.52
0409 001 536.82
0410 001 843.61
0411 001 541.63
0412 001 331.33
0413 001 445.26
0414 001 559.88
0415 001 836.78
0416 001 427.29
0417 001 914.74
0418 001 482.42
0419 001 334.50
0420 001 746.71
0421 001 1080.44
0422 001 834.04
0423 001 861.24
0424 001 302.82
0425 001 977.72
0426 001 388.65
0427 001 446.85
0428 001 439.55
0429 001 1016.46
0430 001 1012.72
0431 001 836.60
0432 001 458.67
0433 001 1090.08
0434 001 336.99
0435 001 467.99
0436 001 1099.67
0437 001 882.03
0438 001 838.93
0439 001 315.37
0440 001 229.66
0441 001 458.67
0442 001 447.97
0443 001 437.91
0444 001 692.89
0445 001 1118.70
0446 001 1104.97
0447 001 926.36
0448 001 927.83
0449 001 1065.07
0450 001 345.04
0451 001 651.97
0452 001 979.46
0453 001 293.02
0454 001 1065.07
0455 001 882.03
0456 001 1083.00
0457 001 1119.63
0458 001 462.51
0459 001 298.93
0460 001 224.22
0461 001 667.94
0462 001 396.21
0463 001 431.20
0464 001 1017.09
0465 001 927.56
0466 001 672.15
0467 001 942.44
0468 001 1094.52
0469 001 944.17
0470 001 314.71
0471 001 848.36
0472 001 956.80
0473 001 184.07
0474 001 1040.80
0475 001 1063.78
0476 001 1157.69
0477 001 1013.70
0478 001 312.40
0479 001 943.53
0480 001 564.24
0481 001 1115.56
0482 001 936.74
0483 001 971.37
0484 001 1070.09
0485 001 362.16
0486 001 855.57
0487 001 1162.26
0488 001 941.00
0489 001 584.27
0490 001 949.95
0491 001 1012.57
0492 001 1082.22
0493 001 1139.98
0494 001 1157.69
0495 001 942.89
0496 001 1072.04
0497 001 579.98
0498 001 925.26
0499 001 947.53
0500 001 987.33
0501 001 1139.36
0502 001 928.90
0503 001 1158.96
0504 001 969.74
0505 001 1126.17
0506 001 694.60
0507 001 767.65
0508 001 1194.78
0509 001 1113.23
0510 001 1122.75
0511 001 1215.09
0512 001 1084.55
0513 001 1001.48
0514 001 1171.87
0515 001 967.31
0516 001 1161.40
0517 001 1207.64
0518 001 1215.01
0519 001 1111.10
0520 001 1186.46
0521 001 1017.62
0522 001 1008.68
0523 001 903.61
0524 001 1163.82
0525 001 1165.85
0526 001 1110.89
0527 001 999.46
0528 001 1095.38
0529 001 1042.62
0530 001 1016.13
0531 001 1069.74
0532 001 1176.70
0533 001 1147.77
0534 001 1239.37
0535 001 1109.87
0536 001 1105.55
0537 001 1233.71
0538 001 1066.72
0539 001 1152.04
0540 001 1152.81
0541 001 1112.84
0542 001 1098.72
0543 001 1191.86
0544 001 1082.14
0545 001 1068.55
0546 001 1059.41
0547 001 1173.68
0548 001 1178.37
0549 001 1041.59
0550 001 1174.25
0551 001 1003.91
0552 001 1132.86
0553 001 1140.38
0554 001 1180.49
0555 001 936.36
0556 001 904.90
0557 001 1098.99
0558 001 1124.21
0559 001 798.38
0560 001 1074.57
0561 001 1137.37
0562 001 920.68
0563 001 1127.98
0564 001 1159.99
0565 001 726.88
0566 001 1139.78
0567 001 1032.12
0568 001 753.36
0569 001 460.64
0570 001 866.24
0571 001 1179.12
0572 001 470.09
0573 001 1094.03
0574 001 893.33
0575 001 838.77
0576 001 1160.29
0577 001 1086.15
0578 001 833.98
0579 001 556.78
0580 001 1080.91
0581 001 465.03
0582 001 619.15
0583 001 868.46
0584 001 579.52
0585 001 1027.49
0586 001 1065.61
0587 001 1091.38
0588 001 947.26
0589 001 1087.59
0590 001 308.65
0591 001 1049.63
0592 001 310.21
0593 001 269.52
0594 001 351.37
0595 001 347.47
0596 001 302.21
0597 001 1021.91
0598 001 827.76
0599 001 928.95
0600 001 1091.67
0601 001 285.97
0602 001 308.65
0603 001 1049.82
0604 001 1086.35
0605 001 308.65
0606 001 1076.32
0607 001 806.85
0608 001 1023.66
0609 001 1045.30
0610 001 1026.73
0611 001 1083.96
0612 001 1018.92
0613 001 882.57
0614 001 882.83
0615 001 315.36
0616 001 324.32
0617 001 987.50
0618 001 276.62
0619 001 286.31
0620 001 842.01
0621 001 354.33
0622 001 1089.17
0623 001 938.09
0624 001 78.84
0625 001 717.49
0626 001 1025.13
0627 001 910.59
0628 001 891.46
0629 001 68.66
0630 001 1040.57
0631 001 1002.49
0632 001 940.56
0633 001 488.93
0634 001 1034.53
0635 001 1062.58
0636 001 891.46
0637 001 945.98
0638 001 57.07
0639 001 1027.91
0640 001 909.18
0641 001 886.67
0642 001 668.73
0643 001 385.78
0644 001 950.22
0645 001 988.83
0646 001 836.11
0647 001 900.39
0648 001 858.07
0649 001 344.80
0650 001 927.23
0651 001 1020.27
0652 001 890.41
0653 001 805.44
0654 001 909.49
0655 001 809.53
0656 001 1035.66
0657 001 858.07
0658 001 703.82
0659 001 699.70
0660 001 982.06
0661 001 881.17
0662 001 881.17
0663 001 1018.40
0664 001 905.79
0665 001 1019.08
0666 001 1016.81
0667 001 889.76
0668 001 919.96
0669 001 958.41
0670 001 962.97
0671 001 989.64
0672 001 1019.68
0673 001 1019.68
0674 001 739.74
0675 001 627.51
0676 001 552.08
0677 001 614.14
0678 001 730.12
0679 001 640.59
0680 001 644.80
0681 001 729.88
0682 001 393.18
0683 001 396.49
0684 001 415.96
0685 001 227.83
