# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n dynamic-npp
# Version info: 7.4.0.287 (R2007a) lemmen@grpsrv05 GLNXA64 L linux 02-Feb-2009 11:08:25 /h/lemmen/projects/glues/glues/glues-1.1.2/visual/matlab  write_region_iiasa.m write_region_iiasa 02-Feb-2009 11:08:22 (c)2009 lemmen
0431     1 1200
0432     1 875
0433     1 420
0434     1 1157
0435     1 588
0436     1 279
0437     1 1126
0438     1 845
0439     1 522
0440     1 432
0441     1 929
0442     1 737
0443     1 645
0444     1 449
0445     1 454
0446     1 683
0447     1 657
0448     1 395
0449     1 212
0450     1 620
0451     1 575
0452     1 1177
0453     1 707
0454     1 355
0455     1 1134
0456     1 569
0457     1 894
0458     1 1083
0459     1 781
0460     1 726
0461     1 993
0462     1 908
0463     1 703
0464     1 773
0465     1 779
0466     1 1059
0467     1 771
0468     1 777
0469     1 761
0470     1 825
0471     1 520
0472     1 683
0473     1 850
0474     1 816
0475     1 773
0476     1 979
0477     1 131
0478     1 1162
0479     1 958
0480     1 1195
0481     1 683
0482     1 676
0483     1 1023
0484     1 1128
0485     1 889
0486     1 324
0487     1 1004
0488     1 929
0489     1 1073
0490     1 915
0491     1 923
0492     1 933
0493     1 682
0494     1 860
0495     1 1133
0496     1 1173
0497     1 1175
0498     1 196
0499     1 1041
0500     1 539
0501     1 1071
0502     1 1174
0503     1 950
0504     1 977
0505     1 994
0506     1 310
0507     1 356
0508     1 1192
0509     1 1030
0510     1 841
0511     1 1056
0512     1 405
0513     1 1201
0514     1 1199
0515     1 1204
0516     1 1016
0517     1 1093
0518     1 1121
0519     1 917
0520     1 1223
0521     1 539
0522     1 1171
0523     1 1181
0524     1 1033
0525     1 1176
0526     1 737
0527     1 1189
0528     1 499
0529     1 977
0530     1 1103
0531     1 1243
0532     1 859
0533     1 633
0534     1 575
0535     1 888
0536     1 160
0537     1 777
0538     1 947
0539     1 556
0540     1 1137
0541     1 1157
0542     1 1136
0543     1 513
0544     1 795
0545     1 1000
0546     1 1200
0547     1 705
0548     1 1196
0549     1 887
0550     1 982
0551     1 447
0552     1 1053
0553     1 443
0554     1 1078
0555     1 1162
0556     1 1061
0557     1 756
0558     1 991
0559     1 858
0560     1 753
0561     1 994
0562     1 1106
0563     1 736
0564     1 617
0565     1 926
0566     1 663
0567     1 827
0568     1 1030
0569     1 705
0570     1 998
0571     1 79
0572     1 641
0573     1 882
0574     1 450
0575     1 709
0576     1 415
0577     1 801
0578     1 740
0579     1 518
0580     1 646
0581     1 513
0582     1 587
0583     1 898
0584     1 361
0585     1 561
0586     1 578
0587     1 707
0588     1 887
0589     1 489
0590     1 872
0591     1 481
0592     1 400
0593     1 475
0594     1 731
0595     1 714
0596     1 499
0597     1 389
0598     1 198
0599     1 768
0600     1 855
0601     1 357
0602     1 1077
0603     1 348
0604     1 401
0605     1 742
0606     1 392
0607     1 121
0608     1 463
0609     1 285
0610     1 297
0611     1 331
0612     1 885
0613     1 44
0614     1 557
0615     1 269
0616     1 507
0617     1 651
0618     1 303
0619     1 364
0620     1 170
0621     1 417
0622     1 219
0623     1 409
0624     1 466
0625     1 975
0626     1 259
0627     1 269
0628     1 489
0629     1 541
0630     1 201
0631     1 176
0632     1 595
0633     1 173
0634     1 438
0635     1 300
0636     1 415
0637     1 163
0638     1 631
0639     1 244
0640     1 202
0641     1 123
0642     1 916
0643     1 345
0644     1 694
0645     1 211
0646     1 830
0647     1 213
0648     1 552
0649     1 509
0650     1 355
0651     1 323
0652     1 758
0653     1 723
0654     1 412
0655     1 666
0656     1 627
0657     1 636
0658     1 785
0659     1 536
0660     1 285
0661     1 547
0662     1 397
0663     1 582
0664     1 334
0665     1 447
0666     1 539
0667     1 868
0668     1 645
0669     1 736
0670     1 547
0671     1 174
0672     1 263
0673     1 374
0674     1 781
0675     1 564
0676     1 634
0677     1 204
0678     1 131
0679     1 134
0680     1 517
0681     1 614
0682     1 127
0683     1 210
0684     1 475
0685     1 410
