10200 09370 08190 05430 03850 -9999 -9999 -9999 -9999 
10200 09370 08220 05450 03850 -9999 -9999 -9999 -9999 
10220 09390 08490 05880 04710 03850 01180 -9999 -9999 
10200 09370 08180 07280 05480 -9999 -9999 -9999 -9999 
10290 09360 08550 05920 04620 03850 02500 01460 -9999 
10210 09400 08550 05990 05450 04590 03850 02500 01470 
10200 09370 08220 07280 05680 04930 -9999 -9999 -9999 
10200 09370 08320 05770 04930 03850 -9999 -9999 -9999 
10200 09370 08160 07280 05500 04860 02920 -9999 -9999 
08480 05930 04540 02440 01430 -9999 -9999 -9999 -9999 
10270 09380 08680 06160 04720 03850 01210 -9999 -9999 
10320 09320 08550 06040 04590 02500 01490 -9999 -9999 
10290 08550 04560 02500 01510 -9999 -9999 -9999 -9999 
10210 07280 05720 -9999 -9999 -9999 -9999 -9999 -9999 
09090 08500 07300 05900 04560 03070 02440 01220 -9999 
10210 09370 08160 07300 05710 04540 -9999 -9999 -9999 
10210 09370 08160 07280 05710 04540 02860 -9999 -9999 
10230 09330 08630 04560 02500 01510 -9999 -9999 -9999 
10200 09370 08190 05420 -9999 -9999 -9999 -9999 -9999 
10290 09360 08690 06180 04690 03850 01220 -9999 -9999 
10200 08320 07310 05880 04540 02220 01140 -9999 -9999 
10290 09360 08620 06180 04620 02500 01490 -9999 -9999 
10320 09320 08620 06160 04620 02500 01490 -9999 -9999 
10290 04600 02500 01510 -9999 -9999 -9999 -9999 -9999 
10290 09360 08690 06160 04730 03850 01230 -9999 -9999 
10320 09320 08620 06040 04580 03850 02500 01490 -9999 
10200 09370 08160 05380 04750 02980 02510 01360 -9999 
10270 09380 08680 06160 04720 03850 01210 -9999 -9999 
10320 09320 08700 06160 04750 03850 01280 -9999 -9999 
10320 09320 08700 06160 04690 03850 02500 01410 -9999 
09100 08460 04550 02500 01510 -9999 -9999 -9999 -9999 
10220 09370 08160 07300 05710 04540 02860 -9999 -9999 
10200 09370 08160 07300 05430 04750 02950 02550 01360 
11000 10290 09360 08690 06160 04780 03850 01250 -9999 
09090 08450 07300 05910 04540 03070 02250 01150 -9999 
10200 09370 08160 07310 05810 04540 02220 01140 -9999 
10220 07310 05740 04540 02190 01120 -9999 -9999 -9999 
10220 09370 08160 07300 05700 02870 -9999 -9999 -9999 
10200 09370 08160 05380 04840 03030 02470 01360 -9999 
11070 10870 10840 10810 10200 09370 08160 05750 04920 
10320 09320 08760 06200 04710 03850 01230 -9999 -9999 
10340 09320 08630 06160 04650 03850 02500 01460 -9999 
09100 08470 04550 02500 01510 -9999 -9999 -9999 -9999 
10230 07300 05730 04650 04030 02920 -9999 -9999 -9999 
10340 09320 08760 06200 04680 03850 01200 -9999 -9999 
09100 08460 07300 05930 04580 03000 02250 01240 -9999 
10220 09370 08160 07280 05700 03970 02870 -9999 -9999 
10230 07300 05730 05000 04010 02870 -9999 -9999 -9999 
11000 10320 09320 08780 06180 04780 03850 01280 -9999 
10200 08320 07310 05880 04540 02210 01130 -9999 -9999 
10340 09320 08720 06180 04680 03850 02500 01310 -9999 
11000 10870 10790 09340 08750 06200 04770 03850 01250 
