  1 Northwest_Territories	300.75 187.34 251.01
652 Australia	68.44 47.33 61.65
653 Argentina_lowland	106.68 70.99 102.19
654 Australia	211.64 138.04 211.64
655 Argentina_lowland	132.54 86.77 127.72
656 Australia	88.01 59.16 80.43
657 Australia	133.22 88.74 127.20
658 Uruguay	113.67 74.94 106.02
659 Southern_Africa	67.01 45.36 61.91
660 Australia	167.08 110.43 167.08
661 Andes	66.42 45.36 63.38
662 Argentina_lowland	68.72 47.33 68.72
663 Argentina_lowland	93.78 63.10 93.78
664 Argentina_lowland	137.76 90.71 137.76
665 Australia	93.37 63.10 80.81
666 Argentina_lowland	147.78 98.60 143.35
667 New_Zealand	86.08 59.16 65.12
668 Australia	100.31 67.05 88.34
669 Andes	72.22 49.30 66.98
670 Argentina_lowland	87.44 59.16 87.44
671 Argentina_lowland	150.05 98.60 149.14
672 Argentina_lowland	59.87 41.41 58.83
673 Argentina_lowland	74.98 51.27 69.45
674 New_Zealand	100.47 67.05 79.15
675 Argentina_lowland	85.07 57.19 75.29
676 Australia	80.69 55.22 63.39
677 Argentina_lowland	78.84 53.24 78.84
678 Argentina_lowland	122.18 82.82 109.86
679 Argentina_lowland	107.98 72.96 102.51
680 Andes	174.53 114.38 148.87
681 New_Zealand	125.53 84.80 111.37
682 Argentina_lowland	96.03 65.08 87.84
683 Argentina_lowland	75.63 53.24 69.87
684 Andes	148.24 98.60 115.07
685 Andes	72.11 51.27 50.88
