3 4 5 6 9 1 12 13 
3 4 5 6 9 12 1 7 
1 7 8 10 11 3 4 5 
13 3 4 5 6 18 9 1 
11 2 1 10 8 7 15 3 
2 1 11 10 14 7 8 3 
3 4 5 6 9 18 13 12 
3 4 5 6 9 12 1 7 
13 18 3 4 5 6 23 9 
14 2 13 29 30 1 11 10 
10 11 8 7 1 15 16 9 
2 11 10 1 8 7 15 36 
2 11 10 1 8 7 15 36 
13 18 14 2 3 4 5 6 
2 14 29 30 1 37 38 11 
13 14 18 2 3 4 5 6 
13 18 14 2 3 4 5 6 
2 11 1 10 8 14 7 36 
3 4 5 6 9 12 17 1 
11 10 8 7 1 15 2 16 
14 13 2 29 30 18 1 3 
11 10 8 7 1 2 15 36 
11 10 2 8 1 7 15 36 
2 11 10 8 1 7 15 36 
8 10 7 11 1 15 16 9 
2 11 10 1 8 7 36 15 
20 21 3 4 5 6 18 23 
8 7 10 11 1 15 16 9 
10 11 8 7 1 15 16 22 
11 10 8 7 1 15 2 16 
2 14 37 38 11 41 36 1 
13 18 14 47 43 46 23 2 
18 23 13 20 21 28 31 3 
8 7 10 11 1 15 16 9 
14 29 30 2 13 41 37 38 
13 14 2 18 29 30 47 3 
13 14 18 2 47 29 30 43 
13 18 43 23 47 46 14 28 
3 4 5 6 9 12 20 21 
12 9 3 4 5 6 17 16 
11 10 8 7 15 1 16 22 
11 10 8 7 2 15 1 36 
2 14 37 38 11 36 10 1 
18 13 23 28 31 34 43 20 
11 10 8 15 7 1 2 16 
14 2 29 30 41 37 38 45 
13 18 23 43 28 31 46 34 
18 13 23 43 28 31 46 34 
8 10 7 11 15 1 16 22 
14 13 29 30 2 18 47 1 
11 10 15 8 7 1 2 44 
8 7 10 11 15 16 1 19 
11 10 15 8 7 1 16 22 
2 11 10 8 7 1 36 15 
10 15 11 8 7 1 16 22 
11 10 15 2 8 7 1 36 
2 14 41 37 38 29 30 45 
13 18 47 43 14 46 23 28 
20 21 33 3 4 5 6 23 
2 36 11 37 38 10 1 8 
14 13 29 30 2 41 18 53 
13 18 14 47 43 2 46 29 
18 23 28 31 20 34 21 35 
8 16 7 10 15 11 19 1 
2 37 38 36 41 14 45 11 
18 23 28 31 13 34 43 35 
2 14 37 38 41 45 36 29 
18 13 43 23 46 28 31 34 
11 15 10 8 7 1 2 36 
14 29 30 2 41 37 38 45 
18 13 23 43 28 31 46 34 
18 23 20 28 31 21 34 35 
20 21 33 28 3 4 5 6 
16 8 15 7 10 22 11 24 
15 8 10 7 16 11 22 24 
11 15 10 8 7 1 44 39 
11 10 15 36 8 2 7 1 
11 36 10 2 15 8 7 1 
11 36 2 10 15 8 7 1 
2 36 11 10 15 8 37 38 
36 2 11 37 38 10 49 15 
2 14 41 37 38 45 29 30 
13 18 47 14 43 46 23 29 
2 37 38 36 41 45 14 11 
15 11 10 8 7 39 40 22 
18 13 43 46 23 47 28 31 
18 23 28 31 34 35 20 21 
37 38 41 2 45 14 36 50 
18 23 43 13 46 28 31 34 
18 23 28 43 31 34 35 46 
23 20 21 28 31 34 18 35 
16 19 17 24 25 26 22 12 
15 16 22 24 25 26 8 27 
14 29 30 13 2 41 53 50 
18 23 28 31 34 35 43 20 
18 43 23 46 28 31 13 34 
15 10 11 8 7 22 24 25 
20 21 33 28 34 35 23 31 
20 21 33 12 3 4 5 6 
37 38 41 2 45 36 14 49 
18 23 43 28 31 46 34 35 
23 28 31 18 34 35 20 21 
36 37 38 2 41 45 49 56 
20 21 23 28 31 34 35 33 
37 38 41 45 2 36 14 50 
41 14 37 38 45 29 30 2 
18 23 28 31 34 35 20 21 
33 20 21 48 12 9 3 4 
16 19 17 24 25 26 22 27 
15 22 27 24 25 26 39 40 
15 39 40 11 10 44 22 8 
15 11 10 44 39 40 8 7 
36 37 38 49 2 45 41 56 
41 37 38 45 14 2 29 30 
18 43 46 23 13 47 51 31 
23 28 31 34 35 20 21 18 
15 22 24 25 26 27 32 16 
14 29 30 41 45 37 38 50 
18 43 23 46 31 28 34 35 
20 21 33 28 35 34 31 23 
19 16 17 24 25 26 22 42 
33 20 21 48 35 34 28 31 
22 24 25 26 16 27 32 15 
22 24 25 26 15 27 32 16 
15 39 40 44 11 10 22 27 
14 29 30 13 2 53 41 55 
23 28 20 21 31 34 35 33 
20 21 28 34 35 31 23 33 
20 21 33 35 28 34 31 23 
15 44 39 40 11 10 22 8 
36 49 37 38 2 45 41 61 
37 38 41 45 36 49 50 56 
23 18 28 31 34 35 43 46 
20 21 33 35 34 28 31 48 
15 44 39 40 11 52 10 22 
36 11 15 49 10 2 8 44 
41 37 38 45 50 14 2 29 
41 37 38 45 50 14 29 30 
41 14 29 30 45 37 38 50 
18 23 43 46 31 28 34 35 
23 28 31 34 35 18 20 21 
20 21 33 35 28 34 31 23 
15 22 27 24 25 26 32 39 
18 43 46 47 23 51 13 31 
20 21 33 35 34 28 31 23 
36 37 38 49 45 41 56 2 
22 27 24 25 26 32 15 16 
15 39 40 44 22 27 32 24 
15 36 44 39 40 11 52 10 
29 30 41 14 45 50 37 38 
29 30 14 41 53 50 55 45 
23 28 31 34 35 20 21 33 
18 43 46 23 31 28 51 34 
21 20 28 34 35 31 33 23 
20 21 33 35 34 28 31 23 
33 48 20 21 12 9 17 35 
24 25 26 22 27 32 16 19 
29 30 41 14 50 45 53 55 
24 25 26 16 22 19 27 32 
23 28 31 34 35 21 20 18 
23 28 31 34 35 21 20 33 
21 20 33 35 34 28 31 23 
33 20 21 48 35 34 28 31 
44 39 40 15 22 52 27 32 
36 49 61 37 38 15 11 44 
37 38 36 45 41 49 56 59 
37 38 41 45 50 36 58 56 
29 30 14 41 53 50 55 45 
21 20 35 34 28 31 33 23 
24 25 26 19 42 16 22 32 
22 27 32 24 25 26 39 40 
44 15 39 40 52 36 11 10 
36 49 37 38 45 56 41 61 
37 38 36 49 45 41 56 59 
44 39 40 15 52 22 27 57 
36 49 37 38 61 56 45 41 
41 45 37 38 50 29 30 53 
22 27 24 25 26 32 16 39 
22 27 32 39 40 24 25 26 
36 49 61 15 44 11 39 40 
23 31 28 43 46 34 35 18 
28 34 35 31 23 21 20 33 
33 21 20 48 35 34 28 31 
39 40 44 22 27 32 15 24 
39 40 44 15 22 27 32 24 
44 39 40 15 52 57 36 11 
36 49 37 38 61 56 45 41 
37 38 45 41 36 49 56 50 
43 18 46 51 23 47 31 28 
43 18 46 23 51 31 28 34 
33 21 20 48 35 34 28 31 
36 44 15 39 40 52 49 61 
36 49 61 37 38 56 15 44 
36 37 38 49 45 56 41 59 
41 37 38 45 50 58 59 60 
41 29 30 50 53 45 55 37 
21 33 20 35 34 28 31 23 
33 21 20 35 34 28 31 48 
27 22 32 24 25 26 39 40 
44 39 40 52 15 57 22 27 
29 30 14 53 55 50 41 45 
34 35 28 31 23 21 20 33 
32 27 24 25 26 22 42 16 
37 38 41 45 50 36 56 59 
37 38 41 45 50 58 59 60 
43 46 18 51 23 47 31 28 
36 49 61 44 73 52 15 37 
36 49 61 37 38 56 45 80 
36 49 37 38 61 56 45 41 
42 24 25 26 32 27 22 19 
27 32 22 39 40 24 25 26 
39 40 44 27 22 32 52 15 
36 49 37 38 56 45 41 61 
37 38 45 41 36 56 49 59 
21 35 34 20 28 33 31 23 
32 27 22 24 25 26 39 40 
39 40 44 27 22 32 24 25 
41 50 45 53 29 30 55 37 
23 31 28 34 35 46 43 18 
42 19 24 25 26 32 16 17 
36 61 49 44 52 39 40 73 
36 49 37 38 56 61 45 41 
41 45 37 38 50 58 53 55 
31 34 35 28 23 21 20 33 
35 34 31 28 23 21 20 33 
33 21 20 35 34 28 31 23 
36 37 38 49 56 45 41 59 
33 21 20 35 34 48 28 31 
42 24 25 26 32 19 27 22 
36 49 61 37 38 56 80 45 
37 38 45 41 56 36 59 60 
41 50 53 45 55 29 30 37 
43 46 51 18 23 31 28 34 
31 23 28 34 35 46 21 43 
33 21 20 35 34 28 31 23 
39 40 44 27 32 22 24 25 
36 49 61 37 38 80 56 73 
36 49 61 37 38 56 45 80 
37 38 45 41 50 59 60 58 
46 43 51 18 23 31 47 28 
44 52 39 40 57 15 27 22 
37 38 36 49 45 56 41 59 
44 39 40 52 57 15 27 22 
36 49 61 73 52 74 75 44 
36 49 37 38 56 61 45 41 
41 45 50 37 38 53 55 58 
46 43 51 23 31 28 34 35 
43 46 51 18 47 23 31 28 
23 31 28 34 35 51 46 43 
31 34 35 28 23 51 46 43 
42 54 19 24 25 26 32 27 
42 32 24 25 26 27 54 22 
39 40 44 27 32 22 52 24 
39 40 44 52 57 27 32 22 
29 30 53 55 50 41 14 45 
44 39 40 52 57 27 32 22 
52 44 39 40 57 15 74 75 
36 49 61 73 80 74 75 81 
36 49 61 56 37 38 80 73 
37 38 49 56 36 45 41 59 
37 38 45 41 56 59 60 49 
50 41 45 53 55 58 37 38 
42 54 32 24 25 26 27 22 
52 44 39 40 57 61 15 74 
61 36 49 52 73 44 74 75 
31 34 28 35 23 51 46 43 
45 41 37 38 50 58 59 60 
46 43 51 47 18 23 31 28 
51 46 43 23 31 28 34 35 
31 34 35 28 23 51 46 43 
35 34 31 28 33 21 20 23 
52 44 39 40 57 27 32 15 
52 44 57 61 39 40 73 74 
36 49 61 80 73 74 75 56 
37 38 56 45 41 49 59 60 
53 50 55 41 45 29 30 58 
35 34 31 28 23 51 46 69 
32 27 24 25 26 42 22 39 
52 44 57 39 40 15 75 74 
61 36 49 73 74 75 80 81 
36 49 61 80 56 73 37 38 
37 38 45 41 56 59 60 58 
51 46 43 23 31 28 34 35 
35 34 31 28 33 21 23 20 
33 35 34 21 28 31 20 23 
33 21 35 20 34 28 31 48 
35 34 31 28 23 21 33 20 
52 57 44 39 40 74 75 73 
53 29 30 55 50 41 45 65 
46 51 43 18 23 47 31 28 
51 46 43 23 31 28 34 35 
51 46 31 34 35 28 23 43 
35 34 31 28 23 69 70 21 
42 32 27 24 25 26 22 54 
61 49 36 73 80 74 75 81 
49 61 36 80 73 74 75 81 
49 36 61 56 80 37 38 83 
45 37 38 59 60 56 58 41 
45 41 58 37 38 59 60 50 
45 50 41 58 37 38 59 60 
50 41 45 58 55 53 37 38 
46 51 43 23 18 31 28 34 
42 54 32 24 25 26 63 64 
42 32 27 24 25 26 54 22 
32 27 42 24 25 26 22 39 
52 57 44 39 40 74 75 73 
52 57 61 44 73 74 75 39 
61 49 73 36 74 75 80 81 
49 36 61 56 80 83 73 37 
49 56 36 37 38 59 60 45 
45 41 50 58 59 60 37 38 
50 41 45 55 53 58 65 66 
53 55 50 29 30 41 65 66 
35 34 31 28 33 69 70 21 
42 54 32 24 25 26 27 22 
52 57 44 39 40 75 74 73 
52 57 44 39 40 74 75 73 
49 61 36 80 73 83 56 74 
51 46 43 23 47 31 18 28 
51 46 43 23 31 28 34 35 
51 31 35 34 28 23 46 43 
61 73 74 75 52 57 81 36 
45 59 60 58 41 37 38 56 
35 34 31 28 23 51 69 70 
49 36 61 56 80 37 38 83 
56 45 59 60 37 38 58 41 
51 46 43 23 31 28 34 35 
54 42 63 64 32 24 25 26 
61 49 36 80 73 74 75 81 
50 58 45 41 55 53 59 60 
61 49 73 36 80 74 75 81 
51 46 31 43 34 35 28 23 
42 54 32 27 24 25 26 22 
51 46 43 31 23 34 28 35 
51 46 43 31 23 34 35 28 
35 34 69 70 31 28 76 77 
61 73 74 75 52 57 81 44 
49 61 36 80 83 56 73 74 
56 49 59 60 37 38 36 45 
56 59 60 58 45 37 38 62 
58 45 59 60 50 41 62 37 
56 59 60 49 37 38 45 58 
32 39 40 27 44 52 22 24 
52 57 44 75 74 39 40 73 
61 73 74 75 81 80 49 36 
61 73 49 74 75 80 81 36 
61 49 36 80 73 83 74 75 
59 60 58 45 56 62 41 37 
50 55 53 58 65 66 67 68 
51 46 31 35 34 69 70 43 
69 70 76 77 78 79 35 34 
