No;No_sort;Datafile;t_min;t_max;Plotname;Proxy;Interpret;Latitude;Longitude;CutoffFreq;SourcePDF;Source ;Comment
178;777;data/paleo/Africa/Congo/edward2003.txt;---;---;??;??;??;NaN;NaN;NaN;??;??;??
179;777;data/paleo/Atlantic/Moros2007ngdc.txt;---;---;??;??;??;NaN;NaN;NaN;??;??;??
180;777;climdyn_16_79_temp3.dat;0;4;S Australia;T;??;-41.83;145.53;-1;climdyn_16_79.pdf;Cook2000;??
181;777;data/paleo/Pacific/PeruChile/Lamy2002ngdc.txt;---;---;??;??;??;NaN;NaN;NaN;??;??;??
182;777;data/paleo/Antarctica/Grootes1999_o.txt;---;---;??;??;??;NaN;NaN;NaN;??;??;??
183;777;cariaco_gray3.dat;0;11;Cariaco Basin;GSD;??;10.3;-63.3;9.5;???;???;??
184;777;data/paleo/America/USA/Noren2002ngdc.txt;---;---;??;??;??;NaN;NaN;NaN;??;??;??
185;777;data/paleo/America/Canada/Yu1998ngdc_crawford.txt;---;---;??;??;??;NaN;NaN;NaN;??;??;??
186;777;data/paleo/Pacific/California/Barron2004ngdc.txt;---;---;??;??;??;NaN;NaN;NaN;??;??;??
187;777;data/paleo/Asia/Tibet/Morrill2006ngdc.txt;---;---;??;??;??;NaN;NaN;NaN;??;??;??
188;777;Solignac2007ngdc_NAtlantic_SST-8.dat;---;---;N Iceland Shelf;SST8;??;66.63;-23.85;NaN;??;Solignac2007;data/paleo/Atlantic/North/Solignac2007ngdc.txt
189;777;data/paleo/Indian/Arabian/Gupta2003ngdc.txt;---;---;??;??;??;NaN;NaN;NaN;??;??;??
190;777;data/paleo/Atlantic/Caribbean/Haug2001ngdc.txt;---;---;??;??;??;NaN;NaN;NaN;??;??;??
191;777;data/paleo/America/Curtis1996ngdc.txt;---;---;??;??;??;NaN;NaN;NaN;??;??;??
192;777;Solignac2007ngdc_NAtlantic_SST-2.dat;---;---;N Iceland Shelf;SST2;??;66.63;-23.85;NaN;??;Solignac2007;data/paleo/Atlantic/North/Solignac2007ngdc.txt
193;888;ammersee_d18O.dat;0;11;??;??;??;NaN;NaN;NaN;??;??;??
194;888;Guatemala_jpaleolim_19_139_Co_d18O.dat;0;9;??;??;??;NaN;NaN;NaN;??;??;??
195;888;holo_d18O_ice_0.dat;0;10;??;??;??;NaN;NaN;NaN;??;??;??
196;888;GRIP_d18O.dat;0;11;??;??;??;NaN;NaN;NaN;??;??;??
197;888;Yellowstone_geology_28_211_CHAR.dat;0;11;??;??;??;NaN;NaN;NaN;??;??;??
198;888;Italy_BiogenSil.dat;0;12;Italy;Bsi;??;40.8;15.35;NaN;nature_400_740.pdf;Allen1999;??
199;888;jpaleolim_19_139_d13C.dat;0;9;??;??;??;NaN;NaN;NaN;??;??;??
200;888;Doose-Rolinski2001_NE_ArabianSea.dat;0;5;??;??;??;NaN;NaN;NaN;??;??;??
201;888;Holo_d18O_LakeVan.dat;0;11;Lk Van, Turkey;$\delta^{18}$O;??;38;43;NaN;holocene_13_665.pdf;Wick2003;??
202;888;geophysrl_30_1617_stalagmite.dat;0;3;E China;$\Delta$T (stalagmites);??;39.8;115.9;-1;?geophysreslet_30_1617.pdf;Tan2003;Record too short, no pdf yet
203;888;sajama_ice_bolivia.dat;0;11;Sajama, Bolivia;??;??;-18.1;-68.9;-1;climchange_59_137.pdf;Thompson2003;??
204;888;Ethiopia_qsr_23_881_TOC.dat;0;9;??;??;??;NaN;NaN;NaN;??;??;??
205;888;Vos_O2-N2_isotope_data_all.dat;---;---;Vostok, Antarctica;??;??;NaN;NaN;NaN;??;??;??
206;888;Italy_mag-sus.dat;0;11;Italy;??;??;NaN;NaN;NaN;??;??;??
207;888;yamal_siberia2.dat;0;4;NW Siberia;T7;??;69.85;67.75;-1;?holocene_12_717.pdf;Hantemirov2002;no pdf yet, site? Too short
208;888;geophysrl_30_1617_stalagmite3.dat;0;3;E China;$\Delta$T (stalagmites);??;39.8;115.9;-1;?geophysreslet_30_1617.pdf;Tan2003;Record too short, no pdf yet
209;888;climdyn_16_79_temp.dat;0;4;S Australia;T (trees);??;-41.83;145.53;-1;climdyn_16_79.pdf;Cook2000;??
210;888;Titanium_BlackSea.dat;1;11;Black Sea;Ti;??;43.49;30.2;-1;margeol_214_309.pdf;Bahr2005;Redfit spectrum mostly not calculated
211;888;cariaco_gray.dat;0;11;??;??;??;NaN;NaN;NaN;??;??;??
212;888;climdyn_16_79_temp2.dat;0;4;S Australia;T;??;-41.83;145.53;-1;climdyn_16_79.pdf;Cook2000;too short
213;888;holo_d18O_mediter2.dat;0;4;SE Mediterranean;$\delta^{18}$O;??;32;34.33;-1;paleoce_18_1064.pdf;Schilman2003;too short
214;888;Tasmania_Temp.dat;0;4;Tasmania;T (Pollen);??;-43;147;-1;climdyn_16_79.pdf;Cook2000;??
215;888;Morroco_d18O.dat;5;9;NW Morocco;$\delta^{18}$O;??;37;-7;-1;?paleoce_16_164.pdf;Hodell2001b;too short
216;888;yamal_siberia.dat;0;4;NW Siberia;T7;??;69.85;67.75;-1;?holocene_12_717.pdf;Hantemirov2002;no pdf yet, site?
217;888;holo_d18O_mediter1.dat;0;4;SE Mediterranean;$\delta^{18}$O;??;32;34.33;-1;paleoce_18_1064.pdf;Schilman2003;too short
218;888;Tasmania_Temp2.dat;0;4;Tasmania;T;??;-43;147;-1;climdyn_16_79.pdf;Cook2000;too short
219;888;EthiopiaTilo_qsr_23_811_d18O.dat;0;9;Ethiopia;$\delta^{18}$O;??;7.05;38.08;NaN;??;Lamb2000;??
220;888;Guatemala_jpaleolim_19_139_Py_d18O.dat;0;9;??;??;??;NaN;NaN;NaN;??;??;??
221;888;holo_LakeAbhe_level.dat;0;10;Lk Abhe, Ethiopia;Level;??;12;43;-1;quatscirev_19_189.pdf;Gasse2000;LL raus
222;888;d18O_CostaRica_Venado.dat;5;9;Costa Rica;$\delta^{18}$O;??;10.6;-84.8;-1;?geology_32_957.pdf;Lachniet2004;too short
223;888;climdyn_21_337_uk37.dat;0;12;Angola Basin;U$^{k'}_{37}$;??;-16.17;12;12;climdyn_21_337.pdf;Kim2003;??
224;888;sajama_ic2_bolivia.dat;0;12;Sajama, Bolivia;??;??;-18.1;-68.9;-1;climchange_59_137.pdf;Thompson2003;??
225;888;pixdata_0.dat;1;11;??;??;??;NaN;NaN;NaN;??;??;Too few data points, not sorted
226;888;Titicaca_climchang_52_175_TOC_xpm.dat;0;11;??;??;??;NaN;NaN;NaN;??;??;??
227;888;Tasmania_Temp3.dat;0;4;Tasmania;T;??;-43;147;-1;climdyn_16_79.pdf;Cook2000;too short
228;888;d13C_nature_422_277_2.dat;1;10;??;??;??;NaN;NaN;NaN;??;??;??
229;888;HOLO2_0.dat;0;12;??;??;??;NaN;NaN;NaN;??;??;??
230;888;d13C_pyramid_lake.dat;0;3;??;??;??;NaN;NaN;NaN;??;??;??
231;888;Arz2001_WestBrasil.dat;0;11;??;??;??;NaN;NaN;NaN;??;??;??
232;888;Holo_LakeLevel_Titikaka.dat;0;4;Lk Titikaka;Level;E-P Balance;-15;-69;-1;quatres_47_169.pdf;Abbott1997;Abbott1997_etal_qres, LOI and 14C from aquatic gastropods, LL raus
233;888;Italy_BiogenSil2.dat;0;12;Italy;Bsi;??;40.8;15.35;NaN;nature_400_740.pdf;Allen1999;??
234;999;Mongolia_TOC.dat;0;7;Lk Telmen, Mongolia;TOC;??;48.5;97.1;-1;paleo3_183_135.pdf;Peck2002;??
235;999;MexicoCalif_PACLIM2001_Carbonate.dat;0;8;Mexico;Carbonate;??;24.63;-110.55;-1;?paclim_2001_7.pdf;Douglas2001;??
236;999;d18O_epsl_185_369.dat;0;7;Chilean Coast;$\delta^{18}$O;??;-41;-74.4;-1;epsl_185_369.pdf;Lamy2001;??
237;999;NEAmerica_GSAbull_114_1326_d18O.dat;3;12;NE America;$\delta^{18}$O;??;43.03;-75.97;11;GSAbull_114_1326.pdf ;Kirby2002;No redfit
238;999;Sun2005_Okinawa_d18O.dat;1;12;E China Sea;$\delta^{18}$O;??;28.01;127.02;NaN;??;Sun2005;G. Ruber, rather take SST record
239;999;Partin2007_NorthernBorneoStalagmite_Borneo_d18O_2.dat;---;---;Borneo;$\delta^{18}$O;MOC;4.03;114.8;NaN;??;Partin2007;Stalagmite 2, redfit spectrum weird
240;999;ArabianSea_SST_S.dat;0;12;Arabian Sea;SST (S);??;14.32;57.35;-1;??;Schulz1995;??
241;999;Benguela_SST_paleocean2005.dat;0;11;Eq Atlantic;Mg/Ca T;??;-23;12;-1;TropAtlantic_Farmer.pdf;Farmer2005;Palocean.submitted, ODP1084b
242;999;Ecuador_grayscale.dat;0;12;??;??;??;NaN;NaN;NaN;??;??;No redfit
243;999;Partin2007_NorthernBorneoStalagmite_Borneo_d18O_3.dat;---;---;Borneo;$\delta^{18}$O;MOC;4.03;114.8;NaN;??;Partin2007;Stalagmite 3, redfit spectrum weird
244;999;sajama_no3.dat;0;12;Sajama, Bolivia;Nitrate;??;-18.1;-68.9;-1;climchange_59_137.pdf;Thompson2003;??
245;999;Atlantic_d18O_Cwueller.dat;0;11;Trop Atlantic;$\delta^{18}$O (Cwue);??;20.75;-18.58;-1;??;Knaack1997;ODP108-658C
246;999;Laskar2004_summer_insolation_65N_tot.dat;0;11;N Hemisphere;Insolation;??;65;NaN;NaN;??;Laskar2004;No redfit
247;999;SChina_d18O.dat;0;12;??;??;??;NaN;NaN;NaN;??;??;No redfit
248;999;Atlantic_d18O_Ginf.dat;0;11;Trop Atlantic;$\delta^{18}$O (Ginf);??;20.75;-18.58;-1;??;Knaack1997;ODP108-658C
249;999;GRIP_d18O2.dat;0;12;Greenland Ice;$\delta^{18}$O;??;72.6;-38.5;-1;?nature_364_203.pdf;GRIP1993;??
250;999;ArabianSea_Gbull_climdyn_12_213.dat;0;12;Arabian Sea;\%Gbull;??;18;57.6;-1;climdyn_12_213.pdf;Overpeck1996;??
251;999;Stoner2007_IcelandShelf_NorthAtlantic_Quartz.dat;0;11;N Iceland Shelf;Quartz;??;66.63;-23.85;NaN;??;Stoner2007;Redfit spectrum weird
252;999;Sun2005_Okinawa_MgCa.dat;1;12;E China Sea;MgCa;SST;28.01;127.02;NaN;??;Sun2005;G. Ruber MgCa thermometry, obliviated by SST record
253;999;Partin2007_NorthernBorneoStalagmite_Borneo_d18O_1.dat;---;---;Borneo;$\delta^{18}$O;MOC;4.03;114.8;NaN;??;Partin2007;Stalagmite 1, redfit spectrum weird
254;999;Partin2007_NorthernBorneoStalagmite_Borneo_d18O.dat;---;---;Borneo;$\delta^{18}$O;MOC;4.03;114.8;NaN;??;Partin2007;Stalagmites combined
255;999;ricketts2001_d13C.dat;3;9;Lk Issyk-Kul, Kyrgyzstan;\delta^{13}C;??;42.42;77.33;-1;palaeo3_176_207.pdf;Ricketts2001;??
256;999;Hu2008_Heshang_China_d18O.dat;0;9;Heshang Cv, China;$\delta^{18}$O;P;30.45;110.42;NaN;??;Hu2008;Stalagmite, redfit spectrum weird
257;999;pixdata_1.dat;0;10;??;??;??;NaN;NaN;NaN;??;??;No redfit
