No;No_sort;Datafile;t_min;t_max;Plotname;Proxy;Interpret;Latitude;Longitude;CutoffFreq;SourcePDF;Source ;Comment
48;48;d18O_science_274_1504_GRuber2.dat;1;10;Bermuda Rise;$\delta^{18}$O;??;33.42;-57.37;-1;science_274_1503.html;Keigwin1996;??
49;49;Tibet_d18O_paleo3_120_25.dat;0;11;Tibet;$\delta^{18}$O;??;33.4;79;-1;paleo3_120_25.pdf;Fontes1996;??
50;50;science_304_575_dongge_d18O.dat;0;11;Dongge Cv, China;$\delta^{18}$O;??;32.5;119.17;11;science_304_575.pdf;Yuan2004;??
51;51;holo_moisture_stjoaquin.dat;0;7;S California;Moisture;P;32;-115;-1;?quatres_23_227.pdf;Davis1992;??
52;52;Holo_d18O_Soreq.dat;0;11;Soreq Cv, Israel;$\delta^{18}$O;P;31.8;34.8;10;earthplanscilet_166_85.pdf;BarMatthews1999;BarMatthews1999_etal_epsl, Multi, D18O with temperature correction model, Also available d13C, Koordinaten im Paper sind verwunderlich
53;53;Fengming2008_etal_qint_OkinawaTrough_EastChinaSea.dat;0;11;E China Sea;SST;SST;29.23;128.14;NaN;??;Fengming2008;Radiolaria
54;54;Canary_d18O.dat;0;11;Canary;$\delta^{18}$O;??;29.02;-13.67;-1;deepsearesII_49_3655.pdf;Freudenthal2002;GeoB4223
55;55;Sun2005_Okinawa_SST.dat;1;11;E China Sea;SST;SST;28.01;127.02;NaN;??;Sun2005;G. Ruber MgCa thermometry, Age model 2
56;56;China_Dunde_d18O_qsr_23_2207.dat;0;9;Dunde, China;$\delta^{18}$O;??;27;95;-1;qsr_23_2207.pdf;Jung2004;??
57;57;RedSea_d18O.dat;1;11;Red Sea;$\delta^{18}$O;??;26.12;35.21;-1;margeol_209_279.pdf;SeebergElverfeldt2004;Poster_Greece.jpg
58;58;Xiangshui_d18O_holocene_14_697.dat;0;6;Xiangshui Cv, China;$\delta^{18}$O;??;26;110.5;-1;holocene_14_697.pdf;Zhang2004;??
59;59;Dykoski2005_epsl_DonggeCv_d18O_stalagmite_UTh.dat;0;11;Dongge Cv, China;P;stalagmite d18O;25.28;105.08;NaN;Dykoski2005_etal_epsl.pdf;Dykoski2005;U/Th dating to 1% accuracy, Monsoon strength
60;60;Wang2005_Dongge_China_d18O.dat;0;9;Dongge Cv, China;$\delta^{18}$O;??;25.28;105.08;NaN;??;Wang2005;Stalagmite, redfit spectrum weird
61;61;arabian_sea_d18O.dat;0;11;NE Arabian Sea;$\delta^{18}$O;??;24.83;65.92;11;?paleoce_16_358.pdf;DooseRolinski2001;site?
62;62;holo_Dry_SouthChina.dat;0;10;S China;Moisture;??;21.15;110.28;-1;chinscibul_45_1712.pdf;Liu2000;??
63;63;Atlantic_d18O_Gruber.dat;0;11;Trop Atlantic;$\delta^{18}$O;??;20.75;-18.58;-1;???;Knaack1997;ODP108-658C
64;64;TropAtlantic_SST_AugAnom_science_288_2198.dat;0;11;Trop Atlantic;SST;??;20.45;-18.35;-1;science_288_2198.pdf;DeMenocal2000;??
65;65;d18O_GIK17940_SChinaSea.dat;0;11;S China Sea (GIK17940);$\delta^{18}$O;??;20.12;117.38;-1;margeol_156_245.pdf;Wang1999;??
66;66;SChinaSea_d18O_qsr_23_2207.dat;0;9;S China Sea;SSS;??;20.12;117.38;-1;qsr_23_2207.pdf;Jung2004;GIK17490
67;67;Silt_SChinaSea.dat;0;11;S China Sea;Silt;??;20.12;117.38;-1;margeol_156_245.pdf;Wang1999;??
68;68;SChina_d18O_15k.dat;0;11;S China Sea (GIK17939);$\delta^{18}$O;??;19.97;117.46;-1;margeol_156_245.pdf;Wang1999;GIK17939???20.11-117.3833
69;69;Chichancanab_d18O_Physocypria.dat;0;8;Yucatan;$\delta^{18}$O (Ph);??;19;-89;-1;?nature_364_203.pdf;Hodell1995;??
70;70;Chichancanab_d18O_Pyrgophorus.dat;0;8;Yucatan;$\delta^{18}$O (Py);??;19;-89;-1;?nature_364_203.pdf;Hodell1995;??
71;71;Taiwan_LOI_epsl_146_59.dat;2;11;Taiwan;LOI;??;18.5;115;-1;epsl_146_59.pdf;Huang1997;??
72;72;d18O_Haiti_quatres_52_159.dat;0;10;Haiti;$\delta^{18}$O;??;18.25;-73.06;-1;quatres_52_159.pdf;HigueraGundy1999;??
73;73;ArabSea_nature_421_354_d18O.dat;0;11;Arabian Sea;$\delta^{18}$O;??;18;57.3;-1;nature_421_354.pdf;Gupta2003;??
74;74;Oman_science_300_1737_A_d18O.dat;3;8;Oman;$\delta^{18}$O;??;17.17;54.3;-1;science_300_1737.pdf;Fleitmann2003;??
75;75;Fleitmann2007_QunfCave_Oman_d18O.dat;0;11;Qunf Cv, Oman;$\delta^{18}$O;P;17.1;54.18;NaN;??;Fleitmann2007;Stalagmite
76;76;jpaleolim_19_139_d18O.dat;0;10;Guatemala;$\delta^{18}$O;??;16.92;-89.83;-1;paleolimn_19_139.pdf;Curtis1998;??
77;77;Yucatan_d18O_pyrgophorus.dat;0;10;Guatemala;$\delta^{18}$O (Py);??;16.55;-89.5;-1;jpaleolimn_19_139.pdf;Curtis1998;??
78;78;Yucatan_d18O_cochliopina.dat;0;10;Guatemala;$\delta^{18}$O (Co);??;16.55;-89.5;-1;jpaleolimn_19_139.pdf;Curtis1998;??
79;79;Yucatan_d18O_cytheridella.dat;0;8;Guatemala;$\delta^{18}$O (Cy);??;16.55;-89.5;-1;jpaleolimn_19_139.pdf;Curtis1998;??
80;80;DiatomChange_Titicaca.dat;0;11;Peru;P (diatom);E-P Balance;16;69;NaN;Tapia2003;Tapia2003;Data Fritz2004_ngdc, % of fresh/benthic/S-insensitive diatom species, data/paleo/America/Peru/titicaca_2003.txt
81;81;ArabianSea_SST_W.dat;0;11;Arabian Sea;SSTW;??;14.32;57.35;-1;???;Schulz1995;??
82;82;Sahel_d18O_qsr_21_737.dat;0;11;Sahel;$\delta^{18}$O;??;13;13;-1;qsr_21_737.pdf;Gasse2002;??
83;83;EArabSea_d18O_epsl_177_209.dat;0;10;E Arabian Sea;$\delta^{18}$O;??;12.5;74;-1;epsl_177_209.pdf;Sarkar2000;??
84;84;NECanada_nature_400_344_grey.dat;4;9;NE Canada;GSD;High latitude cooling;10.7;-64.95;-1;nature_400_344.pdf;Barber1999;Barber1999_etal_nat, Hughen1996_etal_nat, paleo/Atlantic/Tropical/Hughen2000ngdc, 
85;85;sst_cariaco_lea2003.dat;0;11;Cariaco Basin;SST;??;10.3;-63.3;11.5;science_301_1361.pdf;Lea2003;??
86;86;science_293_1304_ti.dat;0;11;Cariaco Basin;Titanium;??;10.3;-63.3;9.5;science_293_1304.pdf;Haug2001;??
87;87;cariaco_gray2.dat;0;11;Cariaco Basin;GSD;??;10.3;-63.3;9.5;science_293_1304.pdf;Haug2001;??
88;88;Venezuala_d18O_valencia.dat;0;8;Venezuela;$\delta^{18}$O;??;10.1;-67.4;-1;?holocene_9_609.pdf;Curtis1999;??
89;89;Somalia_Core905_d18O_qsr_23_2207.dat;0;10;Somalia;$\delta^{18}$O;??;10;53;-1;qsr_23_2207.pdf;Jung2004;??
90;90;d18O_GIK17961_SChinaSea.dat;0;11;S China Sea (g61);$\delta^{18}$O;??;8.51;112.33;-1;margeol_156_245.pdf;Wang1999;??
91;91;SuluSea_d18O.dat;4;11;Sulu Sea;$\delta^{18}$O;??;8.47;121.17;-1;geophysreslet_30_1428.pdf;Rosenthal2003;??
92;92;d18O_MD81_Stott2004.dat;0;11;W Pacific;$\delta^{18}$O (81);??;6.3;125.83;-1;nature_431_56.pdf;Stott2004;??
