"No";"No_sort";"Datafile";"t_min";"t_max";"Plotname";"Proxy";"Interpret";"Latitude";"Longitude";"CutoffFreq";"SourcePDF";"Source ";"Comment"
196;777;"data/paleo/America/Curtis2001ngdc_b.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
197;777;"cariaco_gray3.dat";0;12;"Cariaco Basin";"GSD";"??";10,3;-63,3;9,5;"???";"???";"??"
198;777;"data/paleo/America/Peru/Fritz2004ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
199;777;"data/paleo/America/Venezuela/Curtis2002ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
200;777;"data/paleo/Pacific/South/Samson2006ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
201;888;"Tasmania_Temp.dat";0;4;"Tasmania";"T (Pollen)";"??";-43;147;-1;"climdyn_16_79.pdf";"Cook2000";"??"
202;888;"Holo_d18O_LakeVan.dat";0;12;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
203;888;"geophysrl_30_1617_stalagmite.dat";0;3;"E China";"$\Delta$T (stalagmites)";"??";39,8;115,9;-1;"?geophysreslet_30_1617.pdf";"Tan2003";"Record too short, no pdf yet"
204;888;"climdyn_21_337_uk37.dat";0;12;"Angola Basin";"U$^{k'}_{37}$";"??";-16,17;12;12;"climdyn_21_337.pdf";"Kim2003";"??"
205;888;"d13C_pyramid_lake.dat";0;3;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
206;888;"Guatemala_jpaleolim_19_139_Co_d18O.dat";0;9;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
207;888;"yamal_siberia.dat";0;4;"NW Siberia";"T7";"??";69,85;67,75;-1;"?holocene_12_717.pdf";"Hantemirov2002";"no pdf yet, site?"
208;888;"d13C_nature_422_277_2.dat";1;10;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
209;888;"Arz2001_WestBrasil.dat";0;11;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
210;888;"geophysrl_30_1617_stalagmite3.dat";0;3;"E China";"$\Delta$T (stalagmites)";"??";39,8;115,9;-1;"?geophysreslet_30_1617.pdf";"Tan2003";"Record too short, no pdf yet"
211;888;"Titicaca_climchang_52_175_TOC_xpm.dat";0;11;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
212;888;"cariaco_gray.dat";0;12;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
213;888;"ammersee_d18O.dat";0;12;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
214;888;"Yellowstone_geology_28_211_CHAR.dat";0;12;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
215;888;"EthiopiaTilo_qsr_23_811_d18O.dat";0;9;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
216;888;"climdyn_16_79_temp.dat";0;4;"S Australia";"T (trees)";"??";-41,83;145,53;-1;"climdyn_16_79.pdf";"Cook2000";"??"
217;888;"sajama_ic2_bolivia.dat";0;12;"Sajama, Bolivia";"??";"??";-18,1;-68,9;-1;"climchange_59_137.pdf";"Thompson2003";"??"
218;888;"Guatemala_jpaleolim_19_139_Py_d18O.dat";0;9;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
219;888;"Vos_O2-N2_isotope_data_all.dat";"---";"---";"Vostok, Antarctica";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
220;888;"holo_d18O_ice_0.dat";0;10;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
221;888;"pixdata_0.dat";1;11;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
222;888;"Italy_mag-sus.dat";0;12;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
223;888;"DiatomChange_Titicaca.dat";0;12;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
224;888;"jpaleolim_19_139_d13C.dat";0;9;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
225;888;"Doose-Rolinski2001_NE_ArabianSea.dat";0;5;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
226;888;"Ethiopia_qsr_23_881_TOC.dat";0;9;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
227;888;"HOLO2_0.dat";0;12;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
228;888;"Italy_BiogenSil.dat";0;12;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
229;888;"GRIP_d18O.dat";0;12;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
230;888;"sajama_ice_bolivia.dat";0;12;"Sajama, Bolivia";"??";"??";-18,1;-68,9;-1;"climchange_59_137.pdf";"Thompson2003";"??"
231;888;"Italy_BiogenSil2.dat";0;12;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
232;888;"Holo_d18O_LakeVan.dat2";0;12;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
233;999;"ArabianSea_SST_S.dat";0;12;"Arabian Sea";"SST (S)";"??";14,32;57,35;-1;"??";"Schulz1995";"??"
234;999;"d18O_epsl_185_369.dat";0;7;"Chilean Coast";"$\delta^{18}$O";"??";-41;-74,4;-1;"epsl_185_369.pdf";"Lamy2001";"??"
235;999;"Partin2007_NorthernBorneoStalagmite_Borneo_d18O_2.dat";"---";"---";"Borneo";"$\delta^{18}$O";"MOC";4,03;114,8;"NaN";"??";"Partin2007";"Stalagmite 2, redfit spectrum weird"
236;999;"Sun2005_Okinawa_MgCa.dat";1;12;"E China Sea";"MgCa";"SST";28,01;127,02;"NaN";"??";"Sun2005";"G. Ruber MgCa thermometry, obliviated by SST record"
237;999;"Atlantic_d18O_Cwueller.dat";0;11;"Trop Atlantic";"$\delta^{18}$O (Cwue)";"??";20,75;-18,58;-1;"??";"Knaack1997";"ODP108-658C"
238;999;"ArabianSea_Gbull_climdyn_12_213.dat";0;12;"Arabian Sea";"\%Gbull";"??";18;57,6;-1;"climdyn_12_213.pdf";"Overpeck1996";"??"
239;999;"SChina_d18O.dat";0;12;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"No redfit"
240;999;"Hu2008_Heshang_China_d18O.dat";0;9;"Heshang Cv, China";"$\delta^{18}$O";"P";30,45;110,42;"NaN";"??";"Hu2008";"Stalagmite, redfit spectrum weird"
241;999;"pixdata_1.dat";0;10;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"No redfit"
242;999;"jpaleolim_19_139_d18O.dat";0;10;"Guatemala";"$\delta^{18}$O";"??";16,92;-89,83;-1;"paleolimn_19_139.pdf";"Curtis1998";"??"
243;999;"Mongolia_TOC.dat";0;7;"Lk Telmen, Mongolia";"TOC";"??";48,5;97,1;-1;"paleo3_183_135.pdf";"Peck2002";"??"
244;999;"Stoner2007_IcelandShelf_NorthAtlantic_Quartz.dat";0;11;"N Iceland Shelf";"Quartz";"??";66,63;-23,85;"NaN";"??";"Stoner2007";"Redfit spectrum weird"
245;999;"ricketts2001_d13C.dat";3;9;"Lk Issyk-Kul, Kyrgyzstan";"\delta^{13}C";"??";42,42;77,33;-1;"palaeo3_176_207.pdf";"Ricketts2001";"??"
246;999;"Laskar2004_summer_insolation_65N_tot.dat";0;11;"N Hemisphere";"Insolation";"??";65;"NaN";"NaN";"??";"Laskar2004";"No redfit"
247;999;"Partin2007_NorthernBorneoStalagmite_Borneo_d18O.dat";"---";"---";"Borneo";"$\delta^{18}$O";"MOC";4,03;114,8;"NaN";"??";"Partin2007";"Stalagmites combined"
248;999;"NEAmerica_GSAbull_114_1326_d18O.dat";3;12;"NE America";"$\delta^{18}$O";"??";43,03;-75,97;11;"GSAbull_114_1326.pdf ";"Kirby2002";"No redfit"
249;999;"GRIP_d18O2.dat";0;12;"Greenland Ice";"$\delta^{18}$O";"??";72,6;-38,5;-1;"?nature_364_203.pdf";"GRIP1993";"??"
250;999;"Ecuador_grayscale.dat";0;12;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"No redfit"
251;999;"Partin2007_NorthernBorneoStalagmite_Borneo_d18O_3.dat";"---";"---";"Borneo";"$\delta^{18}$O";"MOC";4,03;114,8;"NaN";"??";"Partin2007";"Stalagmite 3, redfit spectrum weird"
252;999;"MexicoCalif_PACLIM2001_Carbonate.dat";0;8;"Mexico";"Carbonate";"??";24,63;-110,55;-1;"?paclim_2001_7.pdf";"Douglas2001";"??"
253;999;"sajama_no3.dat";0;12;"Sajama, Bolivia";"Nitrate";"??";-18,1;-68,9;-1;"climchange_59_137.pdf";"Thompson2003";"??"
254;999;"Sun2005_Okinawa_d18O.dat";1;12;"E China Sea";"$\delta^{18}$O";"??";28,01;127,02;"NaN";"??";"Sun2005";"G. Ruber, rather take SST record"
255;999;"Partin2007_NorthernBorneoStalagmite_Borneo_d18O_1.dat";"---";"---";"Borneo";"$\delta^{18}$O";"MOC";4,03;114,8;"NaN";"??";"Partin2007";"Stalagmite 1, redfit spectrum weird"
256;999;"Atlantic_d18O_Ginf.dat";0;11;"Trop Atlantic";"$\delta^{18}$O (Ginf)";"??";20,75;-18,58;-1;"??";"Knaack1997";"ODP108-658C"
257;999;"Victoria_pilkington_diatom_1.dat";0;10;"Lk Victoria";"Diatoms";"??";0,18;33,2;-1;"quatres_59_172.pdf";"Stager2003";"??"
258;999;"Benguela_SST_paleocean2005.dat";0;11;"Eq Atlantic";"Mg/Ca T";"??";-23;12;-1;"TropAtlantic_Farmer.pdf";"Farmer2005";"Palocean.submitted, ODP1084b"
