"No";"No_sort";"Datafile";"t_min";"t_max";"Plotname";"Proxy";"Interpret";"Latitude";"Longitude";"CutoffFreq";"SourcePDF";"Source ";"Comment"
78;78;"science_296_113_mar.dat";0;12;"Lk Malawi";"MAR";"??";-10,27;34,32;9,5;"science_296_113.pdf";"Johnson2002";"??"
79;79;"holo_d18O_mediter1.dat";0;4;"SE Mediterranean";"$\delta^{18}$O";"??";32;34,33;-1;"paleoce_18_1064.pdf";"Schilman2003";"??"
80;80;"holo_d18O_mediter2.dat";0;4;"SE Mediterranean";"$\delta^{18}$O";"??";32;34,33;-1;"paleoce_18_1064.pdf";"Schilman2003";"??"
81;81;"Holo_d18O_Soreq.dat";0;12;"Soreq Cv, Israel";"$\delta^{18}$O";"P";31,8;34,8;10;"earthplanscilet_166_85.pdf";"BarMatthews1999";"BarMatthews1999_etal_epsl, Multi, D18O with temperature correction model, Also available d13C, Koordinaten im Paper sind verwunderlich"
82;82;"RedSea_d18O.dat";1;12;"Red Sea";"$\delta^{18}$O";"??";26,12;35,21;-1;"margeol_209_279.pdf";"SeebergElverfeldt2004";"Poster_Greece.jpg"
83;83;"MtKenya_science_292_2307_Sim_d18O.dat";1;10;"Lk Sim, Kenia";"$\delta^{18}$O";"Tropical Indian/Atlantic ocean SST";-0,15;37,32;-1;"science_292_2307.pdf";"Barker2001";"Barker2001_etal_sci, Simba Tarn, Benthic freshwater diatoms taxa, mostly Fragilaria"
84;84;"MtKenya_science_292_2307_Hall_d18O.dat";1;12;"Lk Hall, Kenia";"$\delta^{18}$O";"Tropical Indian/Atlantic ocean SST";-0,15;37,35;-1;"science_292_2307.pdf";"Barker2001";"Barker2001_etal_sci, Small Hall Tarn, Benthic freshwater diatoms taxa, mostly Fragilaria"
85;85;"Holo_d18O_KilimanSoreq.dat";0;12;"Kilimanjaro";"$\delta^{18}$O";"??";-4;38;-1;"science_298_589.pdf";"Thompson2002";"??"
86;86;"holo_LakeAbhe_level.dat";0;10;"Lk Abhe, Ethiopia";"Level";"??";12;43;-1;"quatscirev_19_189.pdf";"Gasse2000";"??"
87;87;"Somalia_Core905_d18O_qsr_23_2207.dat";0;10;"Somalia";"$\delta^{18}$O";"??";10;53;-1;"qsr_23_2207.pdf";"Jung2004";"??"
